co_atc,anno,count
J01CR02,2008,44195
J01CA04,2008,22180
J01FA09,2008,15273
J01MA02,2008,10051
J01FA10,2008,9815
J01CR02,2009,47324
J01CA04,2009,20096
J01FA09,2009,16146
J01MA02,2009,11026
J01FA10,2009,10307
J01CR02,2010,43960
J01CA04,2010,15682
J01FA09,2010,13722
J01MA02,2010,10511
J01FA10,2010,10296
J01CR02,2011,45538
J01CA04,2011,12857
J01FA09,2011,12808
J01FA10,2011,10823
J01MA02,2011,10253
J01CR02,2012,45036
J01FA09,2012,11551
J01CA04,2012,11086
J01FA10,2012,9892
J01MA02,2012,9641
J01CR02,2013,47579
J01FA09,2013,11499
J01CA04,2013,10710
J01FA10,2013,10318
J01MA02,2013,10216
J01CR02,2014,48116
J01FA09,2014,11548
J01MA02,2014,10981
J01FA10,2014,10163
J01CA04,2014,9835
J01CR02,2015,45757
J01MA02,2015,10895
J01FA09,2015,10877
J01FA10,2015,10113
J01CA04,2015,9059
J01CR02,2016,43764
J01MA02,2016,9998
J01FA09,2016,9786
J01FA10,2016,9707
J01CA04,2016,8318
J01CR02,2017,39166
J01FA10,2017,9311
J01MA02,2017,9165
J01FA09,2017,8322
J01CA04,2017,6996
J01CR02,2018,25042
J01FA10,2018,6050
J01MA02,2018,5806
J01FA09,2018,5332
J01DD08,2018,4597
