co_codifa,mese,count
026089019,2008-01-01,3139
023097102,2008-01-01,1821
025300029,2008-01-01,1127
026664021,2008-01-01,969
023086150,2008-01-01,835
026089019,2008-02-01,2698
023097102,2008-02-01,1447
025300029,2008-02-01,950
026664021,2008-02-01,784
023086150,2008-02-01,665
026089019,2008-03-01,2405
023097102,2008-03-01,1327
025300029,2008-03-01,944
026664021,2008-03-01,686
025680024,2008-03-01,664
026089019,2008-04-01,2435
023097102,2008-04-01,1275
025300029,2008-04-01,986
026664021,2008-04-01,737
025680024,2008-04-01,643
026089019,2008-05-01,2169
023097102,2008-05-01,1112
025300029,2008-05-01,1038
025680024,2008-05-01,711
026664021,2008-05-01,704
026089019,2008-06-01,2030
025300029,2008-06-01,1060
023097102,2008-06-01,991
025680024,2008-06-01,709
026664021,2008-06-01,671
026089019,2008-07-01,2342
025300029,2008-07-01,1275
023097102,2008-07-01,1078
025680024,2008-07-01,922
026664021,2008-07-01,702
026089019,2008-08-01,1409
025300029,2008-08-01,783
023097102,2008-08-01,661
025680024,2008-08-01,608
026664021,2008-08-01,507
026089019,2008-09-01,2500
023097102,2008-09-01,1211
025300029,2008-09-01,1119
025680024,2008-09-01,838
026664021,2008-09-01,741
026089019,2008-10-01,2782
023097102,2008-10-01,1538
025300029,2008-10-01,1023
026664021,2008-10-01,849
025680024,2008-10-01,756
026089019,2008-11-01,2254
023097102,2008-11-01,1285
025300029,2008-11-01,858
026664021,2008-11-01,699
025680024,2008-11-01,691
026089019,2008-12-01,2669
023097102,2008-12-01,1312
025300029,2008-12-01,978
026664021,2008-12-01,740
025680024,2008-12-01,676
026089019,2009-01-01,3007
023097102,2009-01-01,1435
025300029,2009-01-01,1161
026664021,2009-01-01,786
025680024,2009-01-01,779
026089019,2009-02-01,2589
023097102,2009-02-01,1268
025300029,2009-02-01,937
026664021,2009-02-01,765
025680024,2009-02-01,715
026089019,2009-03-01,2894
023097102,2009-03-01,1450
025300029,2009-03-01,1098
026664021,2009-03-01,892
033940038,2009-03-01,823
026089019,2009-04-01,2520
023097102,2009-04-01,1160
025300029,2009-04-01,1110
026664021,2009-04-01,777
025680024,2009-04-01,710
026089019,2009-05-01,2322
023097102,2009-05-01,1072
025300029,2009-05-01,1013
026664021,2009-05-01,740
025680024,2009-05-01,677
026089019,2009-06-01,2294
025300029,2009-06-01,1121
023097102,2009-06-01,1008
025680024,2009-06-01,852
026664021,2009-06-01,784
026089019,2009-07-01,2420
025300029,2009-07-01,1359
023097102,2009-07-01,1014
025680024,2009-07-01,982
026664021,2009-07-01,852
026089019,2009-08-01,1704
025300029,2009-08-01,865
023097102,2009-08-01,667
025680024,2009-08-01,664
026664021,2009-08-01,634
026089019,2009-09-01,2597
025300029,2009-09-01,1114
023097102,2009-09-01,1093
025680024,2009-09-01,895
026664021,2009-09-01,846
026089019,2009-10-01,3078
023097102,2009-10-01,1347
025300029,2009-10-01,1004
026664021,2009-10-01,929
033940038,2009-10-01,878
026089019,2009-11-01,2966
023097102,2009-11-01,1296
033940038,2009-11-01,1027
025300029,2009-11-01,1000
026664021,2009-11-01,915
026089019,2009-12-01,2213
025300029,2009-12-01,1017
023097102,2009-12-01,974
026664021,2009-12-01,840
033940038,2009-12-01,751
026089019,2010-01-01,2357
025300029,2010-01-01,1206
023097102,2010-01-01,1015
026664021,2010-01-01,803
033940038,2010-01-01,665
026089019,2010-02-01,2285
025300029,2010-02-01,1127
023097102,2010-02-01,976
026664021,2010-02-01,806
033940038,2010-02-01,745
026089019,2010-03-01,2603
025300029,2010-03-01,1225
023097102,2010-03-01,1140
026664021,2010-03-01,929
033940038,2010-03-01,880
026089019,2010-04-01,2345
025300029,2010-04-01,1225
023097102,2010-04-01,989
026664021,2010-04-01,863
033940038,2010-04-01,809
026089019,2010-05-01,2299
025300029,2010-05-01,1164
023097102,2010-05-01,970
026664021,2010-05-01,825
033940038,2010-05-01,750
026089019,2010-06-01,2034
025300029,2010-06-01,1224
023097102,2010-06-01,911
026664021,2010-06-01,887
025680024,2010-06-01,734
026089019,2010-07-01,2083
025300029,2010-07-01,1446
025680024,2010-07-01,898
026664021,2010-07-01,833
023097102,2010-07-01,808
026089019,2010-08-01,1886
025300029,2010-08-01,1285
023097102,2010-08-01,760
026664021,2010-08-01,753
025680024,2010-08-01,733
026089019,2010-09-01,1674
025300029,2010-09-01,877
023097102,2010-09-01,754
026664021,2010-09-01,666
025680024,2010-09-01,539
026089019,2010-10-01,2216
025300029,2010-10-01,974
026664021,2010-10-01,898
023097102,2010-10-01,873
033940038,2010-10-01,837
026089019,2010-11-01,2034
025300029,2010-11-01,1008
023097102,2010-11-01,836
026664021,2010-11-01,800
033940038,2010-11-01,792
026089019,2010-12-01,2021
025300029,2010-12-01,896
033940038,2010-12-01,822
026664021,2010-12-01,818
023097102,2010-12-01,815
026089019,2011-01-01,2483
025300029,2011-01-01,1028
023097102,2011-01-01,997
026664021,2011-01-01,942
033940038,2011-01-01,917
026089019,2011-02-01,2388
023097102,2011-02-01,896
025300029,2011-02-01,887
033940038,2011-02-01,849
026664021,2011-02-01,832
026089019,2011-03-01,2402
025300029,2011-03-01,1044
026664021,2011-03-01,913
