co_codifa,anno,count
026089019,2008,28832
023097102,2008,15058
025300029,2008,12141
026664021,2008,8789
025680024,2008,8610
026089019,2009,30604
023097102,2009,13784
025300029,2009,12799
026664021,2009,9760
025680024,2009,9320
026089019,2010,25837
025300029,2010,13657
023097102,2010,10847
026664021,2010,9881
033940038,2010,8805
026089019,2011,25572
025300029,2011,11689
026664021,2011,9782
023097102,2011,9222
033940038,2011,8862
026089019,2012,27784
025300029,2012,12630
026664021,2012,9723
033940038,2012,8718
023097102,2012,8067
026089019,2013,32335
025300029,2013,14874
026664021,2013,10839
033940038,2013,9772
023097102,2013,8020
026089019,2014,33763
025300029,2014,16317
026664021,2014,12193
033940038,2014,10399
025680024,2014,8619
026089019,2015,33553
025300029,2015,17405
026664021,2015,12369
033940038,2015,10136
025680024,2015,9016
026089019,2016,34197
025300029,2016,16884
026664021,2016,11247
033940038,2016,9564
025680024,2016,9117
026089019,2017,36818
025300029,2017,17325
026664021,2017,11740
025680024,2017,9041
033940038,2017,9003
026089019,2018,24769
025300029,2018,11256
026664021,2018,8214
033940038,2018,6229
025680024,2018,6096
