co_atc,anno,count,fascia
J01CR02,2008,47083,""
J01CA04,2008,26227,""
J01FA09,2008,16454,""
J01MA02,2008,15704,""
J01MA12,2008,14811,""
J01CR02,2009,52760,""
J01CA04,2009,24126,""
J01MA02,2009,17623,""
J01FA09,2009,17481,""
J01MA12,2009,16730,""
J01CR02,2010,53179,""
J01CA04,2010,19943,""
J01MA02,2010,17509,""
J01MA12,2010,16982,""
J01FA09,2010,16007,""
J01CR02,2011,55548,""
J01MA02,2011,17384,""
J01MA12,2011,17011,""
J01CA04,2011,16963,""
J01FA09,2011,16086,""
J01CR02,2012,56981,""
J01MA12,2012,17748,""
J01MA02,2012,17392,""
J01CA04,2012,15187,""
A07AA11,2012,15074,""
J01CR02,2013,63423,""
J01MA12,2013,18843,""
J01MA02,2013,18627,""
A07AA11,2013,15911,""
J01FA09,2013,15001,""
J01CR02,2014,65474,""
J01MA02,2014,20292,""
J01MA12,2014,19133,""
A07AA11,2014,17511,""
J01FA09,2014,15393,""
J01CR02,2015,63722,""
J01MA02,2015,20548,""
J01MA12,2015,18793,""
A07AA11,2015,18600,""
J01FA09,2015,15365,""
J01CR02,2016,63995,""
J01MA02,2016,19700,""
A07AA11,2016,18160,""
J01MA12,2016,17445,""
J01FA09,2016,14002,""
J01CR02,2017,61086,""
J01MA02,2017,19649,""
A07AA11,2017,18584,""
J01MA12,2017,15992,""
J01FA09,2017,12688,""
J01CR02,2018,40146,""
J01MA02,2018,12497,""
A07AA11,2018,12164,""
J01MA12,2018,10853,""
J01DD04,2018,8824,""
