co_atc,mese,count
J01CR02,2008-01-01,3221
A07AA11,2008-01-01,2667
J01MA12,2008-01-01,2577
J01DD04,2008-01-01,2330
J01MA02,2008-01-01,2277
J01CR02,2008-02-01,2812
J01MA12,2008-02-01,2367
A07AA11,2008-02-01,2346
J01MA02,2008-02-01,2015
J01DD04,2008-02-01,2007
J01CR02,2008-03-01,2650
A07AA11,2008-03-01,2305
J01MA12,2008-03-01,2196
J01MA02,2008-03-01,1925
J01DD04,2008-03-01,1784
J01CR02,2008-04-01,2579
A07AA11,2008-04-01,2503
J01MA12,2008-04-01,2193
J01MA02,2008-04-01,1999
J01DD04,2008-04-01,1631
A07AA11,2008-05-01,2481
J01CR02,2008-05-01,2341
J01MA12,2008-05-01,2066
J01MA02,2008-05-01,1905
J01CA04,2008-05-01,1430
A07AA11,2008-06-01,2538
J01CR02,2008-06-01,2170
J01MA12,2008-06-01,1912
J01MA02,2008-06-01,1806
J01CA04,2008-06-01,1206
A07AA11,2008-07-01,2879
J01CR02,2008-07-01,2228
J01MA02,2008-07-01,2095
J01MA12,2008-07-01,1928
J01CA04,2008-07-01,1312
A07AA11,2008-08-01,1929
J01CR02,2008-08-01,1691
J01MA02,2008-08-01,1451
J01MA12,2008-08-01,1291
J01XX01,2008-08-01,890
A07AA11,2008-09-01,2699
J01CR02,2008-09-01,2557
J01MA02,2008-09-01,2208
J01MA12,2008-09-01,2128
J01CA04,2008-09-01,1532
J01CR02,2008-10-01,3153
A07AA11,2008-10-01,2553
J01MA12,2008-10-01,2494
J01MA02,2008-10-01,2385
J01CA04,2008-10-01,1931
J01CR02,2008-11-01,2447
A07AA11,2008-11-01,2165
J01MA12,2008-11-01,2144
J01MA02,2008-11-01,1950
J01CA04,2008-11-01,1460
J01CR02,2008-12-01,2824
A07AA11,2008-12-01,2530
J01MA12,2008-12-01,2317
J01MA02,2008-12-01,2117
J01DD04,2008-12-01,1871
J01CR02,2009-01-01,3240
A07AA11,2009-01-01,2662
J01MA12,2009-01-01,2534
J01MA02,2009-01-01,2259
J01DD04,2009-01-01,2098
J01CR02,2009-02-01,2841
J01MA12,2009-02-01,2378
A07AA11,2009-02-01,2295
J01MA02,2009-02-01,2055
J01DD04,2009-02-01,1767
J01CR02,2009-03-01,3188
A07AA11,2009-03-01,2703
J01MA12,2009-03-01,2687
J01MA02,2009-03-01,2410
J01DD04,2009-03-01,2101
J01CR02,2009-04-01,2778
A07AA11,2009-04-01,2609
J01MA12,2009-04-01,2337
J01MA02,2009-04-01,2310
J01DD04,2009-04-01,1738
J01CR02,2009-05-01,2662
A07AA11,2009-05-01,2584
J01MA12,2009-05-01,2144
J01MA02,2009-05-01,2088
J01DD04,2009-05-01,1361
A07AA11,2009-06-01,2817
J01CR02,2009-06-01,2555
J01MA02,2009-06-01,2267
J01MA12,2009-06-01,2106
J01CA04,2009-06-01,1248
A07AA11,2009-07-01,3108
J01CR02,2009-07-01,2600
J01MA02,2009-07-01,2208
J01MA12,2009-07-01,1925
J01XX01,2009-07-01,1408
A07AA11,2009-08-01,2147
J01CR02,2009-08-01,1771
J01MA02,2009-08-01,1624
J01MA12,2009-08-01,1328
J01XX01,2009-08-01,941
A07AA11,2009-09-01,2877
J01CR02,2009-09-01,2807
J01MA02,2009-09-01,2327
J01MA12,2009-09-01,2178
J01CA04,2009-09-01,1404
J01CR02,2009-10-01,3307
A07AA11,2009-10-01,2649
J01MA02,2009-10-01,2539
J01MA12,2009-10-01,2508
J01DD04,2009-10-01,1745
J01CR02,2009-11-01,3168
J01MA12,2009-11-01,2692
J01MA02,2009-11-01,2427
A07AA11,2009-11-01,2422
J01DD04,2009-11-01,1792
J01CR02,2009-12-01,2769
A07AA11,2009-12-01,2651
J01MA12,2009-12-01,2348
J01MA02,2009-12-01,2145
J01DD04,2009-12-01,1682
J01CR02,2010-01-01,2904
A07AA11,2010-01-01,2807
J01MA12,2010-01-01,2399
J01MA02,2010-01-01,2325
J01DD04,2010-01-01,1701
J01CR02,2010-02-01,2851
A07AA11,2010-02-01,2581
J01MA12,2010-02-01,2493
J01MA02,2010-02-01,2119
J01DD04,2010-02-01,1790
J01CR02,2010-03-01,3446
J01MA12,2010-03-01,3075
A07AA11,2010-03-01,3069
J01MA02,2010-03-01,2588
J01DD04,2010-03-01,2242
J01CR02,2010-04-01,3040
A07AA11,2010-04-01,2805
J01MA12,2010-04-01,2562
J01MA02,2010-04-01,2199
J01DD04,2010-04-01,1901
