date_part,co_codifa,count
2008,026089019,83965
2008,023097102,44064
2008,025300029,43191
2008,033940038,24206
2009,026089019,88071
2009,025300029,45794
2009,023097102,40275
2009,033940038,27628
2010,026089019,71571
2010,025300029,48325
2010,023097102,31101
2010,033940038,28871
2011,026089019,71778
2011,025300029,43040
2011,033940038,29836
2011,023097102,26442
2012,026089019,78138
2012,025300029,48381
2012,033940038,29385
2012,023097102,22967
2013,026089019,89985
2013,025300029,57595
2013,033940038,32808
2013,023097102,22720
2014,026089019,94248
2014,025300029,62299
2014,033940038,34175
2014,023097102,20652
2015,026089019,94140
2015,025300029,65983
2015,033940038,33534
2015,023097102,19293
2016,026089019,94326
2016,025300029,64643
2016,033940038,32146
2016,023097102,17793
2017,026089019,101050
2017,025300029,64847
2017,033940038,30328
2017,023097102,14632
