date_part,co_codifa,count
2008,023097102,44064
2008,026089019,6559
2008,025300029,4778
2008,033940038,1813
2009,023097102,14073
2009,026089019,7321
2009,025300029,4663
2009,033940038,2032
2010,023097102,9809
2010,026089019,5899
2010,025300029,4884
2010,033940038,2177
2011,023097102,7675
2011,026089019,5644
2011,025300029,4066
2011,033940038,2174
2012,023097102,6199
2012,026089019,6166
2012,025300029,4626
2012,033940038,2289
2013,026089019,7000
2013,023097102,5851
2013,025300029,5281
2013,033940038,2510
2014,026089019,7229
2014,025300029,5376
2014,023097102,4865
2014,033940038,2507
2015,026089019,7075
2015,025300029,5561
2015,023097102,4396
2015,033940038,2446
2016,026089019,6529
2016,025300029,5363
2016,023097102,3851
2016,033940038,2217
2017,026089019,6807
2017,025300029,5157
2017,023097102,3037
2017,033940038,2096
