co_codifa,mese,count
024840074,2017-01-01,15788
026803104,2017-01-01,8590
023103132,2017-01-01,7378
031981044,2017-01-01,7168
036635047,2017-01-01,6828
024840074,2017-02-01,13912
026803104,2017-02-01,7783
031981044,2017-02-01,6592
023993013,2017-02-01,6015
036635047,2017-02-01,5929
024840074,2017-03-01,16582
026803104,2017-03-01,8882
031981044,2017-03-01,7499
023993013,2017-03-01,7154
036635047,2017-03-01,6812
024840074,2017-04-01,13285
026803104,2017-04-01,7160
031981044,2017-04-01,6339
023993013,2017-04-01,5652
036635047,2017-04-01,5031
024840074,2017-05-01,16627
026803104,2017-05-01,8733
031981044,2017-05-01,7802
023993013,2017-05-01,7185
036635098,2017-05-01,6326
024840074,2017-06-01,15430
026803104,2017-06-01,7948
031981044,2017-06-01,7177
023993013,2017-06-01,6621
036635098,2017-06-01,5826
024840074,2017-07-01,16469
026803104,2017-07-01,8377
031981044,2017-07-01,7289
023993013,2017-07-01,6875
025300029,2017-07-01,6323
024840074,2017-08-01,13024
026803104,2017-08-01,6756
031981044,2017-08-01,6028
023993013,2017-08-01,5909
025300029,2017-08-01,4978
024840074,2017-09-01,14860
026803104,2017-09-01,7790
031981044,2017-09-01,7051
036635098,2017-09-01,6154
023993013,2017-09-01,6102
024840074,2017-10-01,15217
026803104,2017-10-01,8299
031981044,2017-10-01,7520
036635098,2017-10-01,6562
023993013,2017-10-01,6251
024840074,2017-11-01,15374
026803104,2017-11-01,8176
031981044,2017-11-01,7261
036635098,2017-11-01,6888
023993013,2017-11-01,6230
024840074,2017-12-01,14014
026803104,2017-12-01,7354
031981044,2017-12-01,6720
036635098,2017-12-01,5978
023993013,2017-12-01,5794
