co_atc,mese,sesso,count
A07AA11,2008-01-01,F,2772
A07AA11,2008-01-01,M,1987
J01MA12,2008-01-01,F,2647
J01MA12,2008-01-01,M,2546
A07AA11,2008-02-01,F,2355
A07AA11,2008-02-01,M,1692
J01MA12,2008-02-01,F,2418
J01MA12,2008-02-01,M,2380
A07AA11,2008-03-01,F,2339
A07AA11,2008-03-01,M,1670
J01MA12,2008-03-01,F,2235
J01MA12,2008-03-01,M,2260
A07AA11,2008-04-01,F,2567
A07AA11,2008-04-01,M,1783
J01MA12,2008-04-01,F,2135
J01MA12,2008-04-01,M,2247
A07AA11,2008-05-01,F,2575
A07AA11,2008-05-01,M,1785
J01MA12,2008-05-01,F,2004
J01MA12,2008-05-01,M,2145
A07AA11,2008-06-01,F,2686
A07AA11,2008-06-01,M,1847
J01MA12,2008-06-01,F,1909
J01MA12,2008-06-01,M,1880
A07AA11,2008-07-01,F,3222
A07AA11,2008-07-01,M,2033
J01MA12,2008-07-01,F,1937
J01MA12,2008-07-01,M,1935
A07AA11,2008-08-01,F,2047
A07AA11,2008-08-01,M,1376
J01MA12,2008-08-01,F,1335
J01MA12,2008-08-01,M,1190
A07AA11,2008-09-01,F,2849
A07AA11,2008-09-01,M,1923
J01MA12,2008-09-01,F,2184
J01MA12,2008-09-01,M,2246
A07AA11,2008-10-01,F,2559
A07AA11,2008-10-01,M,1788
J01MA12,2008-10-01,F,2587
J01MA12,2008-10-01,M,2507
A07AA11,2008-11-01,F,2194
A07AA11,2008-11-01,M,1493
J01MA12,2008-11-01,F,2103
J01MA12,2008-11-01,M,2092
A07AA11,2008-12-01,F,2476
A07AA11,2008-12-01,M,1786
J01MA12,2008-12-01,F,2228
J01MA12,2008-12-01,M,2359
A07AA11,2009-01-01,F,2838
A07AA11,2009-01-01,M,1975
J01MA12,2009-01-01,F,2497
J01MA12,2009-01-01,M,2504
A07AA11,2009-02-01,F,2440
A07AA11,2009-02-01,M,1677
J01MA12,2009-02-01,F,2304
J01MA12,2009-02-01,M,2431
A07AA11,2009-03-01,F,2730
A07AA11,2009-03-01,M,2004
J01MA12,2009-03-01,F,2771
J01MA12,2009-03-01,M,2721
A07AA11,2009-04-01,F,2760
A07AA11,2009-04-01,M,1868
J01MA12,2009-04-01,F,2273
J01MA12,2009-04-01,M,2429
A07AA11,2009-05-01,F,2622
A07AA11,2009-05-01,M,1788
J01MA12,2009-05-01,F,2122
J01MA12,2009-05-01,M,2206
A07AA11,2009-06-01,F,2904
A07AA11,2009-06-01,M,1955
J01MA12,2009-06-01,F,2055
J01MA12,2009-06-01,M,2042
A07AA11,2009-07-01,F,3402
A07AA11,2009-07-01,M,2210
J01MA12,2009-07-01,F,1973
J01MA12,2009-07-01,M,1973
A07AA11,2009-08-01,F,2240
A07AA11,2009-08-01,M,1542
J01MA12,2009-08-01,F,1400
J01MA12,2009-08-01,M,1367
A07AA11,2009-09-01,F,2980
A07AA11,2009-09-01,M,1940
J01MA12,2009-09-01,F,2227
J01MA12,2009-09-01,M,2291
A07AA11,2009-10-01,F,2664
A07AA11,2009-10-01,M,1809
J01MA12,2009-10-01,F,2639
J01MA12,2009-10-01,M,2787
A07AA11,2009-11-01,F,2399
A07AA11,2009-11-01,M,1716
J01MA12,2009-11-01,F,2921
J01MA12,2009-11-01,M,3066
A07AA11,2009-12-01,F,2586
A07AA11,2009-12-01,M,1762
J01MA12,2009-12-01,F,2419
J01MA12,2009-12-01,M,2394
A07AA11,2010-01-01,F,3004
A07AA11,2010-01-01,M,2101
J01MA12,2010-01-01,F,2413
J01MA12,2010-01-01,M,2346
A07AA11,2010-02-01,F,2654
A07AA11,2010-02-01,M,1895
J01MA12,2010-02-01,F,2516
J01MA12,2010-02-01,M,2534
A07AA11,2010-03-01,F,3120
A07AA11,2010-03-01,M,2121
J01MA12,2010-03-01,F,3058
J01MA12,2010-03-01,M,2967
A07AA11,2010-04-01,F,2860
A07AA11,2010-04-01,M,2007
J01MA12,2010-04-01,F,2544
J01MA12,2010-04-01,M,2581
A07AA11,2010-05-01,F,2770
A07AA11,2010-05-01,M,1959
J01MA12,2010-05-01,F,2587
J01MA12,2010-05-01,M,2517
A07AA11,2010-06-01,F,3052
A07AA11,2010-06-01,M,1999
J01MA12,2010-06-01,F,2298
J01MA12,2010-06-01,M,2279
A07AA11,2010-07-01,F,3406
A07AA11,2010-07-01,M,2148
J01MA12,2010-07-01,F,2224
J01MA12,2010-07-01,M,2054
A07AA11,2010-08-01,F,3035
A07AA11,2010-08-01,M,1992
J01MA12,2010-08-01,F,1809
J01MA12,2010-08-01,M,1748
A07AA11,2010-09-01,F,2063
A07AA11,2010-09-01,M,1497
J01MA12,2010-09-01,F,1748
J01MA12,2010-09-01,M,1816
A07AA11,2010-10-01,F,2455
A07AA11,2010-10-01,M,1677
J01MA12,2010-10-01,F,2618
J01MA12,2010-10-01,M,2632
A07AA11,2010-11-01,F,2502
A07AA11,2010-11-01,M,1761
J01MA12,2010-11-01,F,2368
J01MA12,2010-11-01,M,2505
A07AA11,2010-12-01,F,2305
A07AA11,2010-12-01,M,1578
J01MA12,2010-12-01,F,2401
J01MA12,2010-12-01,M,2511
A07AA11,2011-01-01,F,2630
A07AA11,2011-01-01,M,1841
J01MA12,2011-01-01,F,2799
J01MA12,2011-01-01,M,2756
A07AA11,2011-02-01,F,2382
A07AA11,2011-02-01,M,1669
J01MA12,2011-02-01,F,2565
J01MA12,2011-02-01,M,2670
A07AA11,2011-03-01,F,2839
A07AA11,2011-03-01,M,1925
J01MA12,2011-03-01,F,2762
J01MA12,2011-03-01,M,2756
A07AA11,2011-04-01,F,2444
A07AA11,2011-04-01,M,1786
J01MA12,2011-04-01,F,2336
J01MA12,2011-04-01,M,2450
A07AA11,2011-05-01,F,2860
A07AA11,2011-05-01,M,1928
J01MA12,2011-05-01,F,2605
J01MA12,2011-05-01,M,2694
A07AA11,2011-06-01,F,2919
A07AA11,2011-06-01,M,1949
J01MA12,2011-06-01,F,2151
J01MA12,2011-06-01,M,2147
A07AA11,2011-07-01,F,3162
A07AA11,2011-07-01,M,1975
J01MA12,2011-07-01,F,1950
J01MA12,2011-07-01,M,1971
A07AA11,2011-08-01,F,2486
A07AA11,2011-08-01,M,1602
J01MA12,2011-08-01,F,1490
J01MA12,2011-08-01,M,1540
A07AA11,2011-09-01,F,2830
A07AA11,2011-09-01,M,1918
J01MA12,2011-09-01,F,2203
J01MA12,2011-09-01,M,2225
A07AA11,2011-10-01,F,2516
A07AA11,2011-10-01,M,1732
J01MA12,2011-10-01,F,2677
J01MA12,2011-10-01,M,2639
A07AA11,2011-11-01,F,2661
A07AA11,2011-11-01,M,1836
J01MA12,2011-11-01,F,2893
J01MA12,2011-11-01,M,2770
A07AA11,2011-12-01,F,2525
A07AA11,2011-12-01,M,1803
J01MA12,2011-12-01,F,2756
J01MA12,2011-12-01,M,2676
A07AA11,2012-01-01,F,3076
A07AA11,2012-01-01,M,2070
J01MA12,2012-01-01,F,3328
J01MA12,2012-01-01,M,3215
A07AA11,2012-02-01,F,2479
A07AA11,2012-02-01,M,1747
J01MA12,2012-02-01,F,3049
J01MA12,2012-02-01,M,3081
A07AA11,2012-03-01,F,2977
A07AA11,2012-03-01,M,2069
J01MA12,2012-03-01,F,2835
J01MA12,2012-03-01,M,2822
A07AA11,2012-04-01,F,2679
A07AA11,2012-04-01,M,1843
J01MA12,2012-04-01,F,2429
J01MA12,2012-04-01,M,2417
A07AA11,2012-05-01,F,3064
A07AA11,2012-05-01,M,2173
J01MA12,2012-05-01,F,2591
J01MA12,2012-05-01,M,2603
A07AA11,2012-06-01,F,2989
A07AA11,2012-06-01,M,1956
J01MA12,2012-06-01,F,2197
J01MA12,2012-06-01,M,2288
A07AA11,2012-07-01,F,3541
A07AA11,2012-07-01,M,2285
J01MA12,2012-07-01,F,2123
J01MA12,2012-07-01,M,2087
A07AA11,2012-08-01,F,2643
A07AA11,2012-08-01,M,1788
J01MA12,2012-08-01,F,1556
J01MA12,2012-08-01,M,1578
A07AA11,2012-09-01,F,3081
A07AA11,2012-09-01,M,1980
J01MA12,2012-09-01,F,2353
J01MA12,2012-09-01,M,2232
