mese,co_codifa,count
2008-01-01,023103132,6107
2008-01-01,026089019,9378
2008-02-01,023103132,5238
2008-02-01,026089019,8021
2008-03-01,023103132,4286
2008-03-01,026089019,6991
2008-04-01,023103132,3866
2008-04-01,026089019,7017
2008-05-01,023103132,3311
2008-05-01,026089019,6471
2008-06-01,023103132,2152
2008-06-01,026089019,5846
2008-07-01,023103132,1800
2008-07-01,026089019,6460
2008-08-01,023103132,1496
2008-08-01,026089019,4280
2008-09-01,023103132,3206
2008-09-01,026089019,7294
2008-10-01,023103132,4733
2008-10-01,026089019,8295
2008-11-01,023103132,3763
2008-11-01,026089019,6627
2008-12-01,023103132,4397
2008-12-01,026089019,7375
2009-01-01,023103132,5028
2009-01-01,026089019,8491
2009-02-01,023103132,4679
2009-02-01,026089019,7565
2009-03-01,023103132,5044
2009-03-01,026089019,8358
2009-04-01,023103132,4040
2009-04-01,026089019,7382
2009-05-01,023103132,3515
2009-05-01,026089019,6781
2009-06-01,023103132,2465
2009-06-01,026089019,6479
2009-07-01,023103132,1939
2009-07-01,026089019,6982
2009-08-01,023103132,1587
2009-08-01,026089019,4793
2009-09-01,023103132,3202
2009-09-01,026089019,7583
2009-10-01,023103132,5390
2009-10-01,026089019,8991
2009-11-01,023103132,6425
2009-11-01,026089019,8715
2009-12-01,023103132,4276
2009-12-01,026089019,6027
2010-01-01,023103132,4339
2010-01-01,026089019,6485
2010-02-01,023103132,4630
2010-02-01,026089019,6332
2010-03-01,023103132,5285
2010-03-01,026089019,7267
2010-04-01,023103132,4544
2010-04-01,026089019,6480
2010-05-01,023103132,3963
2010-05-01,026089019,6390
2010-06-01,023103132,2876
2010-06-01,026089019,5739
2010-07-01,023103132,1997
2010-07-01,026089019,5728
2010-08-01,023103132,2181
2010-08-01,026089019,5342
2010-09-01,023103132,2586
2010-09-01,026089019,4664
2010-10-01,023103132,4217
2010-10-01,026089019,5877
2010-11-01,023103132,4130
2010-11-01,026089019,5679
2010-12-01,023103132,4258
2010-12-01,026089019,5667
2011-01-01,023103132,5730
2011-01-01,026089019,7074
2011-02-01,023103132,5285
2011-02-01,026089019,6685
2011-03-01,023103132,4961
2011-03-01,026089019,6645
2011-04-01,023103132,4004
2011-04-01,026089019,5658
2011-05-01,023103132,3959
2011-05-01,026089019,6126
2011-06-01,023103132,2508
2011-06-01,026089019,5322
2011-07-01,023103132,1856
2011-07-01,026089019,5229
2011-08-01,023103132,1675
2011-08-01,026089019,4244
2011-09-01,023103132,2803
2011-09-01,026089019,5673
2011-10-01,023103132,4233
2011-10-01,026089019,6416
2011-11-01,023103132,4744
2011-11-01,026089019,6555
2011-12-01,023103132,4464
2011-12-01,026089019,6241
2012-01-01,023103132,5978
2012-01-01,026089019,8010
2012-02-01,023103132,5384
2012-02-01,026089019,7107
2012-03-01,023103132,4485
2012-03-01,026089019,6756
2012-04-01,023103132,3347
2012-04-01,026089019,5762
2012-05-01,023103132,3429
2012-05-01,026089019,6675
2012-06-01,023103132,2448
2012-06-01,026089019,5505
2012-07-01,023103132,1789
2012-07-01,026089019,6019
2012-08-01,023103132,1625
2012-08-01,026089019,4432
2012-09-01,023103132,2992
2012-09-01,026089019,6413
2012-10-01,023103132,4123
2012-10-01,026089019,7382
2012-11-01,023103132,4509
