userid,pazienti,prescrizioni
W8QYVHQ,2022,12205
^F0?2KE,4466,9587
YPDWYUX,1874,9338
DQDESMV,2205,9310
^??S5<3,2039,8940
XXTWDZR,2160,8286
N4YP4ZR,1832,8222
4XF5SWM,1850,7939
BFYRS4W,1939,7800
^E@1N]G,3785,7793
"^J8M],H",3260,7702
79HKWWM,2321,7406
664SS4W,1934,7310
RRJWTRF,2289,7292
MFFP4UX,2900,7255
AJ4Y89E,1994,7027
HF9TVMV,1893,7021
WNDUR9E,2400,6813
EFGYVA2,2044,6796
F7PUD4W,1729,6771
9FPYSS8,2555,6745
YWN54DF,2188,6683
GCCFRC5,1814,6672
FWPE44W,2103,6643
RCQTQFM,1924,6630
W9M8W7B,2480,6550
MMTFR4W,2095,6523
0000009,3743,6379
AYK7R84,2011,6347
KMNYTNA,1726,6305
JFWDTZR,1948,6236
PSJ8RQ5,2028,6230
7PHCQBC,2225,6216
A948SRF,1775,6202
DJ4WTGJ,2283,6197
GWDUTFM,2157,6169
^*?A_W9,1785,6139
6T84WGJ,1962,6116
CNNP53Q,1816,6037
RSRXS2J,3577,5987
FSX9RT9,1861,5865
WGJ8QMV,2018,5846
2PWEWPC,2043,5845
FNYKYMV,2135,5814
PPXCRGJ,1981,5806
DQ8HQ4W,1543,5803
A=5ESK+,4637,5785
^F]E!}H,2933,5749
Q3QWQUX,1772,5703
5WWC4WM,1661,5691
8QUPYDF,1810,5635
AT4HJS8,1583,5606
AEJQ9WM,2155,5576
BBP9TA2,1689,5551
KQ58RS8,1900,5524
HSTQWQ5,1839,5507
5XNKY19,1816,5484
XHKCWC5,1781,5476
WRKYW3Q,2366,5454
AWCQHJV,1787,5433
AYUHET9,2393,5374
57RKY2J,1582,5372
A¶!;</;,2704,5298
WNMWST9,1914,5296
298DWVJ,1933,5276
A=IL:F.,3269,5275
RJNKU61,1302,5275
AXQ9M9E,2090,5275
8YYPSGJ,1784,5273
AP7TN61,1811,5181
B98TUT9,1793,5153
XF7ER7B,2458,5146
KKYJRFM,1846,5138
BKYTT84,1687,5125
MPRCUDF,1307,5124
85PYSE8,1471,5122
PSQJR9E,1905,5061
KYR6UA2,1946,5023
K84SWA2,2496,5016
HDNYS4W,1853,4976
9H34TT9,2033,4968
CD9SQ3Q,1306,4966
7NRCUHQ,1838,4946
KJ9QSX6,2598,4927
6QY4T5U,1973,4913
GJP4Q4W,1874,4859
DRQTRGJ,2071,4854
A7WX4S8,1824,4842
HPTKU7B,1718,4813
AS7UYRF,1028,4808
*</¶V_4,4394,4794
AYD6X7B,2208,4782
CQWUVKA,1419,4739
**[7$?M,2603,4734
S9WDY1M,1591,4702
WQESQXE,2343,4700
^O8-36V,1731,4681
WY95WPC,1852,4653
A=B7HB$,1740,4644
ECYY5HQ,1584,4641
CSNQTE8,1719,4606
ASRKXE8,1913,4575
PDUQSGJ,1416,4567
^<=X8*D,1667,4522
YQQ8Y7B,1814,4515
2GXFQ5U,1500,4508
JWSPVWM,1324,4488
A=R8?ZE,2881,4483
3K4XWA2,1607,4476
9B7K4MV,1600,4469
YKEESA2,1636,4469
5KGTRGJ,1887,4363
4FSYRYM,1463,4356
MYQGR9E,1595,4343
GJQWQ61,1951,4338
N3KCW4W,1852,4323
2KGQVFM,1804,4318
JKWP5MV,2071,4318
QCPPUE8,1683,4300
QN79TBC,1238,4289
HHTMU4W,1967,4253
FKQMQ1M,1310,4247
A7PWZRF,1433,4230
¶GFN>90,1634,4228
¶E.0M¶T,2117,4221
C49URQ5,1876,4201
N3N4DDF,1436,4190
