userid,pazienti,prescrizioni
^F0?2KE,4466,46124
W8QYVHQ,2022,42637
5XNKY19,1816,35790
PSJ8RQ5,2028,34981
YPDWYUX,1874,34487
"^J8M],H",3260,34280
XXTWDZR,2160,31997
BFYRS4W,1939,31878
^E@1N]G,3785,31358
DQDESMV,2205,30964
79HKWWM,2321,30952
^??S5<3,2039,30909
N4YP4ZR,1832,30749
A948SRF,1775,30319
664SS4W,1934,30168
MFFP4UX,2900,30067
W9M8W7B,2480,29900
4XF5SWM,1850,29853
FWPE44W,2103,29707
7PHCQBC,2225,29282
2KGQVFM,1804,29076
KYR6UA2,1946,28944
WNDUR9E,2400,28664
RCQTQFM,1924,28518
CNNP53Q,1816,28293
WGJ8QMV,2018,28227
EFGYVA2,2044,27816
AEJQ9WM,2155,27742
AYK7R84,2011,27399
0000009,3743,27342
GCCFRC5,1814,27254
RRJWTRF,2289,27151
5WWC4WM,1661,27101
HF9TVMV,1893,27033
MJQYDC5,1655,26679
NYGNWNA,2240,26443
MMTFR4W,2095,26441
PSQJR9E,1905,26377
BYMMS5U,1893,26335
3K4XWA2,1607,26321
AJ4Y89E,1994,26284
8QUPYDF,1810,26139
KQ58RS8,1900,26114
AYUHET9,2393,25994
Q3RWDMV,2558,25861
A=5ESK+,4637,25582
F7PUD4W,1729,25509
9FPYSS8,2555,25410
PPXCRGJ,1981,25391
GJQWQ61,1951,25380
85PYSE8,1471,25075
YWN54DF,2188,24930
KKYJRFM,1846,24717
KMNYTNA,1726,24602
RSRXS2J,3577,24580
GWDUTFM,2157,24521
HDNYS4W,1853,24200
H495TVJ,4083,24065
6T84WGJ,1962,23987
ECYY5HQ,1584,23957
HSTQWQ5,1839,23878
6KDKT3Q,1823,23755
AYD6X7B,2208,23640
KN5EQ3Q,1878,23546
CSNQTE8,1719,23540
AWCQHJV,1787,23537
XF7ER7B,2458,23421
PDUQSGJ,1416,23414
A7WX4S8,1824,23237
WY95WPC,1852,23170
DQ8HQ4W,1543,23145
BBP9TA2,1689,23134
FNYKYMV,2135,23024
8YYPSGJ,1784,22969
298DWVJ,1933,22914
JFWDTZR,1948,22872
C49URQ5,1876,22845
YKEESA2,1636,22770
N3KCW4W,1852,22612
D3NHRZR,1637,22584
^F]E!}H,2933,22461
JKMWVHQ,2334,22456
9B7K4MV,1600,22422
D5RRUX6,2148,22369
GJP4Q4W,1874,22355
AXQ9M9E,2090,22341
57RKY2J,1582,22232
Q99TW84,1572,21961
7NRCUHQ,1838,21945
WNMWST9,1914,21938
AT4HJS8,1583,21766
PYPU42J,1944,21708
MPRCUDF,1307,21695
FSX9RT9,1861,21671
BKYTT84,1687,21298
2PWEWPC,2043,21287
YQQ8Y7B,1814,21129
Q3QWQUX,1772,20907
WRKYW3Q,2366,20819
DRQTRGJ,2071,20799
SGFYRFM,1135,20746
9H34TT9,2033,20590
4FSYRYM,1463,20563
AMF9JQ5,1874,20440
¶SJ/9KS,1669,20389
AFGKDUX,1830,20168
DJ4WTGJ,2283,20151
**[7$?M,2603,20065
5KGTRGJ,1887,20052
QSYKRWM,1282,20049
MYQGR9E,1595,20035
6QY4T5U,1973,19924
N3N4DDF,1436,19912
^*?A_W9,1785,19907
A7PWZRF,1433,19849
PYHSWS8,1692,19800
MQ7RSWM,1915,19694
9PRPQT9,1655,19614
S9WDY1M,1591,19533
QSSPY1M,1760,19511
¶E.0M¶T,2117,19383
85QRSBC,1554,19374
QR8VS3Q,1792,19305
JWSPVWM,1324,19083
A=B7HB$,1740,19019
2JRQSX6,2145,19012
69R5SE8,1525,18924
A=X}<^@,3274,18911
AQE4VA2,1669,18646
MJSUYYM,1830,18605
AB7R5A2,1763,18522
^)NN|ZD,1807,18493
R9YXVX6,1598,18346
NKC7DQ5,2336,18326
2GXFQ5U,1500,18305
QFRNTFM,1465,18294
QGRRUMV,1645,18140
83Q9S5U,1773,18112
S4QURZR,2052,18103
KJ9QSX6,2598,18090
Y88VWKA,2272,18035
8RDHQDF,1609,18012
QCPPUE8,1683,17921
29EMQ84,1680,17920
B98TUT9,1793,17874
SKJ8RX6,2307,17820
XTSPU3Q,1551,17739
RJNKU61,1302,17686
WDRG45U,1751,17676
