userid,pazienti,prescrizioni
^F0?2KE,4466,5752
"^J8M],H",3260,5407
RCQTQFM,1924,5104
FWPE44W,2103,4998
^E@1N]G,3785,4977
N4YP4ZR,1832,4966
GWDUTFM,2157,4730
MMTFR4W,2095,4723
A948SRF,1775,4621
MFFP4UX,2900,4538
AJ4Y89E,1994,4537
6T84WGJ,1962,4521
PSJ8RQ5,2028,4383
HF9TVMV,1893,4354
GCCFRC5,1814,4346
DJ4WTGJ,2283,4249
KMNYTNA,1726,4230
EFGYVA2,2044,4189
FSX9RT9,1861,4093
PPXCRGJ,1981,4063
WGJ8QMV,2018,4038
A=IL:F.,3269,4035
^F]E!}H,2933,3928
664SS4W,1934,3841
CQWUVKA,1419,3830
CNNP53Q,1816,3812
W9M8W7B,2480,3783
AWCQHJV,1787,3774
DQDESMV,2205,3657
^<=X8*D,1667,3651
YWN54DF,2188,3605
PDUQSGJ,1416,3582
^*?A_W9,1785,3576
A7WX4S8,1824,3513
FKQMQ1M,1310,3484
JFWDTZR,1948,3448
F7PUD4W,1729,3429
W8QYVHQ,2022,3400
HSTQWQ5,1839,3387
8QUPYDF,1810,3381
XF7ER7B,2458,3329
0000009,3743,3315
^O8-36V,1731,3310
BBP9TA2,1689,3299
N3KCW4W,1852,3277
A=5ESK+,4637,3275
WY95WPC,1852,3251
**[7$?M,2603,3229
BFYRS4W,1939,3211
¶E.0M¶T,2117,3127
^??S5<3,2039,3100
9B7K4MV,1600,3052
3K4XWA2,1607,3036
QGRRUMV,1645,3013
A7PWZRF,1433,3011
A=X}<^@,3274,2947
D3NHRZR,1637,2942
8YYPSGJ,1784,2939
PSQJR9E,1905,2928
7NRCUHQ,1838,2926
RJNKU61,1302,2912
KJ9QSX6,2598,2904
YQQ8Y7B,1814,2889
QN79TBC,1238,2880
EXRPVPC,1918,2869
XXTWDZR,2160,2850
JKWP5MV,2071,2843
CD9SQ3Q,1306,2836
QCPPUE8,1683,2829
5WWC4WM,1661,2804
S4QURZR,2052,2802
¶GFN>90,1634,2791
¶+©0I]I,1661,2777
7PHCQBC,2225,2757
2KGQVFM,1804,2746
JWSPVWM,1324,2746
*</¶V_4,4394,2741
YKEESA2,1636,2726
85PYSE8,1471,2722
GJP4Q4W,1874,2720
2GXFQ5U,1500,2720
A=7©Q+P,2596,2717
AYUHET9,2393,2712
¶BL7-©F,1565,2689
WNDUR9E,2400,2687
WRKYW3Q,2366,2682
YPDWYUX,1874,2670
9FPYSS8,2555,2666
8RDHQDF,1609,2634
KB7YWJV,1677,2620
^)NN|ZD,1807,2612
Q8DWTYM,1831,2584
9H34TT9,2033,2581
Q3RWDMV,2558,2570
MJQYDC5,1655,2565
GKYMQE8,1117,2550
69R5SE8,1525,2520
Q45HYS8,1388,2519
MW55WC5,1732,2514
5KCYYPC,1190,2507
BNMNRUX,1537,2493
S9WDY1M,1591,2490
7FTSSQ5,1708,2487
PNYNRQ5,1479,2476
9TKPQRF,1516,2445
YY68TJV,1534,2441
KKT4R9E,1676,2429
SGFYRFM,1135,2427
298DWVJ,1933,2426
WNMWST9,1914,2412
3KSRUYM,1616,2407
AB7R5A2,1763,2406
BYMMS5U,1893,2405
AS7UYRF,1028,2377
7PWW4E8,1726,2362
FNYKYMV,2135,2355
K84SWA2,2496,2354
¶BL2].F,1387,2340
KYR6UA2,1946,2334
5KGTRGJ,1887,2325
G3T8D61,1155,2322
Q99TW84,1572,2305
^+Y!PO7,1628,2290
CSNQTE8,1719,2290
5XNKY19,1816,2284
AYD6X7B,2208,2270
^<F(.:Z,1452,2265
3QCDSVJ,1247,2252
ECYY5HQ,1584,2233
MYQGR9E,1595,2227
AB9P7BC,1984,2223
A=YT)Q;,1301,2219
83Q9S5U,1773,2214
JKMWVHQ,2334,2210
*:+R4>S,1791,2204
AEJQ9WM,2155,2195
^4:-E*6,1628,2185
AMF9JQ5,1874,2183
WSYYQGJ,805,2176
N5XQRVJ,1602,2166
¶2O|X68,1971,2165
6NS9SBC,1217,2150
ARRPXGJ,1848,2148
MRUYTA2,1804,2125
84YJS2J,1227,2123
8F6NUQ5,1663,2121
9YUPVGJ,1299,2096
R3XKD7B,2426,2086
RSRXS2J,3577,2079
J78JQJV,1669,2074
^UIQ1CL,1559,2072
57RFVWM,1884,2068
BKYTT84,1687,2061
ESF5W61,1672,2041
¶6AMZM7,1346,2040
M4KMYX6,1571,2035
QFRNTFM,1465,2002
WDRG45U,1751,1995
"*,?61<E",1579,1982
RJW8U1M,1792,1979
KN5EQ3Q,1878,1978
NYGNWNA,2240,1973
"A=466T,",1475,1972
A=¶E1F+,1361,1955
A=0M:*T,1575,1919
KYSMURF,1270,1916
XTGER61,1827,1911
7DJVS84,1258,1900
A=;P2AP,1290,1891
RPKFDQ5,1348,1890
MJSUYYM,1830,1889
A=#HMU{,1306,1878
^¶O9)JQ,1844,1870
^6T.E8T,1335,1857
¶0:{1!3,1434,1853
QSYKRWM,1282,1850
RMSGTGJ,1737,1847
^O)-+|H,2074,1843
DJWGQUX,1832,1822
WQESQXE,2343,1820
A=SKL{?,1574,1808
DSJYR7B,1765,1798
PYPU42J,1944,1793
3JFUT7B,1689,1792
A=X}<.R,2627,1787
85QRSBC,1554,1778
XTSPU3Q,1551,1773
MQ7RSWM,1915,1773
WRSYVFM,1867,1766
D5RRUX6,2148,1760
Y88VWKA,2272,1760
7GTUSWM,1304,1760
¶WX5PC4,1397,1759
6QY4T5U,1973,1729
A:{}_2N,1761,1727
4WTPQ1M,1587,1721
YWHE4MV,1337,1706
AT4HJS8,1583,1703
QJUKTHQ,1872,1701
^PN**66,1417,1694
^E{ABPP,1459,1679
WRSVDKA,1446,1677
KKYJRFM,1846,1666
3PS641M,1210,1663
¶(.&0)I,1336,1649
2NWHWKA,1593,1640
NPJTYPC,1636,1639
RRJWTRF,2289,1625
3PPSUS8,1070,1616
AHPPY2J,1324,1614
HHTMU4W,1967,1613
A=.X^L7,1499,1611
EP9HV7B,1140,1598
^+!MEV3,1376,1589
DSQKDQ5,817,1586
9XXUYQ5,1792,1581
¶[G)/M2,1682,1572
DBPYVC5,1635,1571
P5XY5FM,1426,1561
