userid,pazienti,prescrizioni
^F0?2KE,4466,378896
^E@1N]G,3785,310781
6KDKT3Q,1823,307124
"^J8M],H",3260,306663
A=5ESK+,4637,285895
W8QYVHQ,2022,276455
^F]E!}H,2933,270690
A948SRF,1775,267755
AWCQHJV,1787,267664
YPDWYUX,1874,266969
*</¶V_4,4394,262600
WY95WPC,1852,251607
MMTFR4W,2095,251556
MJQYDC5,1655,249648
XXTWDZR,2160,249012
6T84WGJ,1962,249004
RCQTQFM,1924,247181
A7WX4S8,1824,244995
PSJ8RQ5,2028,242373
EFGYVA2,2044,242018
A=IL:F.,3269,240905
RRJWTRF,2289,238652
0000009,3743,238352
Q3RWDMV,2558,231920
GCCFRC5,1814,231098
N4YP4ZR,1832,229069
FWPE44W,2103,228956
WGJ8QMV,2018,228154
8QUPYDF,1810,227289
FNYKYMV,2135,227029
5XNKY19,1816,223949
ECYY5HQ,1584,222299
PSQJR9E,1905,220612
F7PUD4W,1729,220482
W9M8W7B,2480,216229
KMNYTNA,1726,214957
**[7$?M,2603,214427
2PWEWPC,2043,214297
8YYPSGJ,1784,212612
MQ7RSWM,1915,212293
DQ8HQ4W,1543,211940
KKYJRFM,1846,211747
N3N4DDF,1436,211240
AYD6X7B,2208,211183
664SS4W,1934,210649
AYK7R84,2011,210481
S4QURZR,2052,210262
PPXCRGJ,1981,209455
BFYRS4W,1939,208019
79HKWWM,2321,207736
6QY4T5U,1973,206633
57RKY2J,1582,206598
NYGNWNA,2240,206339
^O)-+|H,2074,205981
¶+©0I]I,1661,204896
7PHCQBC,2225,204000
MFFP4UX,2900,203672
YKEESA2,1636,203502
PYPU42J,1944,203164
^+Y!PO7,1628,203032
5WWC4WM,1661,202734
¶{*M=^0,2528,200855
GWDUTFM,2157,200195
MYQGR9E,1595,199703
69R5SE8,1525,199399
AP7TN61,1811,199131
QCPPUE8,1683,197964
MPRCUDF,1307,197857
¶E.0M¶T,2117,197605
CSNQTE8,1719,197435
N3KCW4W,1852,196241
XF7ER7B,2458,196211
3K4XWA2,1607,195997
DQDESMV,2205,195411
RSRXS2J,3577,195365
2KGQVFM,1804,194444
GJP4Q4W,1874,193958
JKMWVHQ,2334,192945
STP6RZR,1542,191810
AFGKDUX,1830,190873
4XF5SWM,1850,190835
AMF9JQ5,1874,190754
WNDUR9E,2400,189357
CNNP53Q,1816,189227
9PRPQT9,1655,188633
Y88VWKA,2272,188497
BYMMS5U,1893,187542
9NGFSDF,1307,187229
^??S5<3,2039,186990
83Q9S5U,1773,186644
PDUQSGJ,1416,186077
WDRG45U,1751,185850
AJ4Y89E,1994,184831
85QRSBC,1554,184410
^38BZLB,1168,182253
YWN54DF,2188,181737
^>¶GA+9,1590,180385
HDNYS4W,1853,180187
C49URQ5,1876,179536
NW7XQC5,1793,178765
HSTQWQ5,1839,177251
FSX9RT9,1861,176851
BKYTT84,1687,176807
4FSYRYM,1463,176697
^<=X8*D,1667,175164
A=X}<.R,2627,174493
DFGQ4KA,1470,174451
XTGER61,1827,173119
A=7©Q+P,2596,172969
WNMWST9,1914,172954
YHQSDE8,1322,172793
Q6XKQS8,1388,171537
KQ58RS8,1900,171423
A=B7HB$,1740,170550
Q3QWQUX,1772,170503
WRKYW3Q,2366,170354
433CVNA,1864,169720
9JJRDBC,1185,168689
KB7YWJV,1677,168687
A=X}<^@,3274,168254
DMTFTZR,1181,167623
7FTSSQ5,1708,167336
9B7K4MV,1600,166875
QSYKRWM,1282,166529
7NRCUHQ,1838,166124
N5XQRVJ,1602,165412
29EMQ84,1680,165300
AEJQ9WM,2155,164320
KN5EQ3Q,1878,162707
HF9TVMV,1893,162099
KYR6UA2,1946,161518
^*?A_W9,1785,159994
298DWVJ,1933,159570
^E>;}J0,1016,158453
Q99TW84,1572,158098
¶0:{1!3,1434,158073
DRQTRGJ,2071,157955
BBP9TA2,1689,157888
AXQ9M9E,2090,157133
^)NN|ZD,1807,156568
4WTPQ1M,1587,155705
QGRRUMV,1645,155476
^<F(.:Z,1452,155472
9Y3U484,1244,155281
RJNKU61,1302,154649
ACWYERF,1233,154453
¶[G)/M2,1682,153441
A=M?DGN,1360,153292
^4:-E*6,1628,153034
B98TUT9,1793,153022
^RL8&(4,1533,153005
A=0M:*T,1575,152627
¶YR5)-2,1048,152258
EXRPVPC,1918,152142
*:+R4>S,1791,152126
85PYSE8,1471,151441
GJQWQ61,1951,150476
¶Z$7UOD,1543,150450
AJGQJGJ,1482,150298
QSSPY1M,1760,149506
5M49Q1M,1573,149233
AR9QPGJ,1514,148878
KYSMURF,1270,148726
PNYNRQ5,1479,148561
CD9SQ3Q,1306,148202
D3NHRZR,1637,147724
AT4HJS8,1583,147326
A=YT)Q;,1301,147314
AX8KQGJ,1309,147293
A=0;7©3,2918,147221
8RDHQDF,1609,146914
9NMJSMV,1578,146809
N6SRUVJ,1676,146167
G3T8D61,1155,146096
WRSYVFM,1867,144916
XTSPU3Q,1551,144850
¶SJ/9KS,1669,144835
¶BL7-©F,1565,144822
34Y6DWM,1529,144261
QFRNTFM,1465,144026
^¶YZ©M9,1228,144000
BJKPSWM,1308,143835
JJR74MV,1537,143603
^PN**66,1417,143141
^E{ABPP,1459,143034
"^©B©^,3",1624,142699
¶GFN>90,1634,142379
QR8VS3Q,1792,142128
S9WDY1M,1591,141391
JWSPVWM,1324,140601
"*,?61<E",1579,140555
AB7R5A2,1763,140163
9H34TT9,2033,140135
YQQ8Y7B,1814,140020
