data,np,count
2008-01-01,1,58043
2008-01-01,2,10717
2008-01-01,3,2207
2008-01-01,4,553
2008-01-01,5,158
2008-01-01,6,62
2008-01-01,7,40
2008-01-01,8,13
2008-01-01,9,5
2008-01-01,10,4
2008-01-01,11,2
2008-01-01,14,1
2008-01-01,16,1
2008-01-01,15,1
2008-02-01,1,51629
2008-02-01,2,9258
2008-02-01,3,1684
2008-02-01,4,431
2008-02-01,5,130
2008-02-01,6,65
2008-02-01,7,21
2008-02-01,8,6
2008-02-01,9,4
2008-02-01,10,2
2008-02-01,13,2
2008-02-01,11,1
2008-03-01,1,46335
2008-03-01,2,8071
2008-03-01,3,1608
2008-03-01,4,396
2008-03-01,5,129
2008-03-01,6,48
2008-03-01,7,21
2008-03-01,8,15
2008-03-01,10,7
2008-03-01,9,5
2008-03-01,11,2
2008-03-01,14,1
2008-04-01,1,44335
2008-04-01,2,8094
2008-04-01,3,1565
2008-04-01,4,396
2008-04-01,5,130
2008-04-01,6,55
2008-04-01,7,24
2008-04-01,8,12
2008-04-01,9,4
2008-04-01,10,3
2008-04-01,11,3
2008-04-01,13,1
2008-04-01,12,1
2008-05-01,1,41721
2008-05-01,2,7508
2008-05-01,3,1413
2008-05-01,4,394
2008-05-01,5,117
2008-05-01,6,42
2008-05-01,7,20
2008-05-01,8,7
2008-05-01,9,6
2008-05-01,10,5
2008-05-01,11,2
2008-05-01,18,1
2008-06-01,1,37675
2008-06-01,2,6725
2008-06-01,3,1266
2008-06-01,4,368
2008-06-01,5,90
2008-06-01,6,41
2008-06-01,7,16
2008-06-01,10,6
2008-06-01,8,5
2008-06-01,11,2
2008-06-01,9,2
2008-07-01,1,39046
2008-07-01,2,7593
2008-07-01,3,1546
2008-07-01,4,447
2008-07-01,5,137
2008-07-01,6,42
2008-07-01,7,20
2008-07-01,8,15
2008-07-01,9,5
2008-07-01,11,2
2008-07-01,12,2
2008-07-01,10,2
2008-07-01,15,1
2008-07-01,21,1
2008-08-01,1,27948
2008-08-01,2,4646
2008-08-01,3,789
2008-08-01,4,220
2008-08-01,5,71
2008-08-01,6,33
2008-08-01,7,14
2008-08-01,8,6
2008-08-01,9,5
2008-08-01,11,2
2008-08-01,10,2
2008-08-01,16,1
2008-09-01,1,44927
2008-09-01,2,8199
2008-09-01,3,1612
2008-09-01,4,407
2008-09-01,5,148
2008-09-01,6,51
2008-09-01,7,19
2008-09-01,8,9
2008-09-01,12,5
2008-09-01,11,4
2008-09-01,9,4
2008-09-01,10,2
2008-09-01,13,2
2008-09-01,14,1
2008-09-01,15,1
2008-10-01,1,51088
2008-10-01,2,9536
2008-10-01,3,1892
2008-10-01,4,513
2008-10-01,5,152
2008-10-01,6,73
2008-10-01,7,22
2008-10-01,9,10
2008-10-01,8,9
2008-10-01,10,3
2008-10-01,13,2
2008-10-01,14,2
2008-10-01,12,1
2008-10-01,17,1
2008-10-01,11,1
2008-10-01,15,1
2008-11-01,1,43176
2008-11-01,2,7173
2008-11-01,3,1259
2008-11-01,4,334
2008-11-01,5,103
2008-11-01,6,44
2008-11-01,7,18
2008-11-01,8,5
2008-11-01,9,3
2008-11-01,10,1
2008-12-01,1,46252
2008-12-01,2,7974
2008-12-01,3,1593
2008-12-01,4,404
2008-12-01,5,125
2008-12-01,6,52
2008-12-01,7,22
2008-12-01,9,9
2008-12-01,8,8
2008-12-01,10,2
2008-12-01,11,1
2008-12-01,12,1
2008-12-01,24,1
2009-01-01,1,51002
2009-01-01,2,9054
2009-01-01,3,1701
2009-01-01,4,433
2009-01-01,5,141
2009-01-01,6,47
2009-01-01,7,22
2009-01-01,8,7
2009-01-01,9,5
2009-01-01,10,3
2009-01-01,17,1
2009-01-01,23,1
2009-02-01,1,48749
2009-02-01,2,8202
2009-02-01,3,1574
2009-02-01,4,434
2009-02-01,5,106
2009-02-01,6,52
2009-02-01,7,16
2009-02-01,8,12
2009-02-01,9,3
2009-02-01,14,3
2009-02-01,12,2
2009-02-01,13,1
2009-02-01,11,1
2009-02-01,10,1
2009-03-01,1,52746
2009-03-01,2,9617
2009-03-01,3,1949
2009-03-01,4,512
2009-03-01,5,168
2009-03-01,6,63
2009-03-01,7,20
2009-03-01,8,8
2009-03-01,10,4
2009-03-01,9,2
2009-03-01,12,2
2009-03-01,17,1
2009-03-01,14,1
2009-03-01,11,1
2009-04-01,1,46428
2009-04-01,2,8307
2009-04-01,3,1603
2009-04-01,4,412
2009-04-01,5,149
2009-04-01,6,42
2009-04-01,7,27
2009-04-01,8,8
2009-04-01,9,7
2009-04-01,10,3
2009-04-01,18,1
2009-04-01,14,1
2009-05-01,1,43150
2009-05-01,2,7490
2009-05-01,3,1527
2009-05-01,4,409
2009-05-01,5,110
2009-05-01,6,47
2009-05-01,7,20
2009-05-01,8,7
2009-05-01,9,6
2009-05-01,10,3
2009-05-01,11,2
2009-05-01,19,1
2009-05-01,12,1
2009-05-01,36,1
2009-05-01,16,1
2009-06-01,1,40627
2009-06-01,2,7228
2009-06-01,3,1465
2009-06-01,4,436
2009-06-01,5,136
2009-06-01,6,52
2009-06-01,7,22
2009-06-01,8,15
2009-06-01,9,9
2009-06-01,11,6
2009-06-01,10,5
2009-06-01,13,1
2009-06-01,17,1
2009-06-01,14,1
2009-06-01,12,1
2009-06-01,15,1
2009-07-01,1,40607
2009-07-01,2,7924
2009-07-01,3,1656
2009-07-01,4,502
2009-07-01,5,163
2009-07-01,6,68
2009-07-01,7,29
2009-07-01,8,12
2009-07-01,9,9
2009-07-01,10,8
2009-07-01,11,5
2009-07-01,13,3
2009-07-01,14,2
2009-07-01,12,1
2009-07-01,15,1
2009-07-01,18,1
2009-08-01,1,29494
2009-08-01,2,4998
2009-08-01,3,952
2009-08-01,4,261
2009-08-01,5,88
2009-08-01,6,34
2009-08-01,7,21
2009-08-01,8,12
2009-08-01,9,4
2009-08-01,10,3
2009-08-01,11,2
2009-08-01,13,1
2009-08-01,17,1
2009-08-01,12,1
2009-09-01,1,45321
2009-09-01,2,8309
2009-09-01,3,1660
2009-09-01,4,437
2009-09-01,5,134
2009-09-01,6,59
2009-09-01,7,16
2009-09-01,8,14
2009-09-01,9,9
2009-09-01,10,3
2009-09-01,11,2
2009-09-01,13,1
2009-09-01,12,1
2009-10-01,1,55065
2009-10-01,2,9806
2009-10-01,3,1926
2009-10-01,4,503
2009-10-01,5,159
2009-10-01,6,70
2009-10-01,7,26
2009-10-01,8,11
2009-10-01,9,7
2009-10-01,10,3
2009-10-01,12,2
2009-10-01,13,1
2009-10-01,15,1
2009-10-01,11,1
2009-11-01,1,55576
2009-11-01,2,10008
2009-11-01,3,1870
2009-11-01,4,476
2009-11-01,5,157
2009-11-01,6,53
2009-11-01,7,26
2009-11-01,8,8
