anno,np,count
2008,1,121079
2008,2,69664
2008,3,40305
2008,4,23654
2008,5,14459
2008,6,9124
2008,7,5840
2008,8,4017
2008,9,2673
2008,10,1956
2008,11,1403
2008,12,1068
2008,13,776
2008,14,604
2008,15,453
2008,16,345
2008,17,298
2008,18,220
2008,19,156
2008,20,143
2008,21,110
2008,22,86
2008,23,75
2008,24,68
2008,25,47
2008,26,37
2008,28,31
2008,27,27
2008,29,26
2008,30,23
2008,36,19
2008,31,16
2008,32,15
2008,35,13
2008,34,9
2008,41,8
2008,33,8
2008,37,6
2008,39,6
2008,44,6
2008,42,6
2008,47,5
2008,56,5
2008,43,5
2008,46,4
2008,40,4
2008,53,3
2008,59,2
2008,61,2
2008,45,2
2008,58,2
2008,62,2
2008,57,2
2008,38,2
2008,54,1
2008,51,1
2008,64,1
2008,78,1
2008,100,1
2008,60,1
2008,74,1
2008,48,1
2008,69,1
2008,83,1
2008,49,1
2008,55,1
2008,70,1
2008,76,1
2008,50,1
2008,73,1
2009,1,122281
2009,2,71551
2009,3,41837
2009,4,24987
2009,5,15105
2009,6,9499
2009,7,6127
2009,8,4084
2009,9,2831
2009,10,2040
2009,11,1527
2009,12,1128
2009,13,854
2009,14,627
2009,15,507
2009,16,347
2009,17,281
2009,18,245
2009,19,209
2009,20,161
2009,22,109
2009,21,102
2009,23,62
2009,24,60
2009,25,59
2009,26,50
2009,27,35
2009,28,33
2009,30,23
2009,29,23
2009,33,20
2009,31,19
2009,32,15
2009,36,13
2009,38,10
2009,41,9
2009,35,9
2009,34,8
2009,51,8
2009,42,7
2009,44,6
2009,40,6
2009,39,6
2009,56,5
2009,37,5
2009,43,4
2009,48,4
2009,64,3
2009,53,3
2009,50,3
2009,47,3
2009,58,2
2009,54,2
2009,52,2
2009,93,2
2009,45,2
2009,60,2
2009,46,2
2009,61,2
2009,63,1
2009,114,1
2009,49,1
2009,91,1
2009,55,1
2009,57,1
2009,76,1
2009,84,1
2009,75,1
2009,65,1
2010,1,119318
2010,2,68112
2010,3,39235
2010,4,23005
2010,5,14081
2010,6,8991
2010,7,5687
2010,8,3785
2010,9,2673
2010,10,1858
2010,11,1410
2010,12,1026
2010,13,854
2010,14,614
2010,15,466
2010,16,343
2010,17,253
2010,18,221
2010,19,172
2010,20,133
2010,21,105
2010,22,82
2010,23,73
2010,25,59
2010,24,58
2010,27,51
2010,26,35
2010,29,32
2010,28,32
2010,30,25
2010,31,21
2010,32,17
2010,35,15
2010,37,13
2010,33,12
2010,41,10
2010,36,10
2010,34,9
2010,38,8
2010,42,7
2010,39,6
2010,43,6
2010,45,4
2010,51,4
2010,66,4
2010,44,3
2010,40,3
2010,47,3
2010,60,3
2010,53,3
2010,65,2
2010,59,2
2010,49,2
2010,61,2
2010,48,2
2010,58,1
2010,79,1
2010,89,1
2010,54,1
2010,46,1
2010,52,1
2010,84,1
2010,76,1
2010,56,1
2010,75,1
2010,64,1
2010,67,1
2011,1,120125
2011,2,66942
2011,3,38071
2011,4,22083
2011,5,13447
2011,6,8638
2011,7,5632
2011,8,3644
2011,9,2583
2011,10,1827
2011,11,1436
2011,12,1037
2011,13,776
2011,14,583
2011,15,426
2011,16,358
2011,17,239
2011,18,236
2011,19,147
2011,20,145
2011,21,103
2011,22,84
2011,23,64
2011,24,53
2011,25,48
2011,26,44
2011,30,34
2011,28,31
2011,27,27
2011,29,25
2011,32,19
2011,34,18
2011,33,16
2011,31,12
2011,41,8
2011,45,8
2011,40,7
2011,36,7
2011,35,6
2011,46,6
2011,39,6
2011,44,6
2011,48,5
2011,37,5
2011,50,4
2011,38,4
2011,47,3
2011,51,3
2011,42,3
2011,60,2
2011,55,2
2011,43,2
2011,93,2
2011,63,2
2011,52,2
2011,53,2
2011,57,2
2011,54,1
2011,64,1
2011,49,1
2011,62,1
2011,56,1
2011,61,1
2012,1,119010
2012,2,65639
2012,3,36882
2012,4,21538
2012,5,12903
2012,6,8119
2012,7,5359
2012,8,3555
2012,9,2437
2012,10,1823
2012,11,1363
2012,12,1018
2012,13,841
2012,14,629
2012,15,447
2012,16,387
2012,17,252
2012,18,215
2012,19,164
2012,20,143
2012,22,104
2012,21,91
2012,24,68
2012,23,60
2012,25,48
2012,26,41
2012,27,36
2012,29,30
2012,31,26
2012,30,26
2012,28,22
2012,34,16
2012,33,14
2012,32,12
2012,36,11
2012,35,10
2012,37,8
2012,40,8
2012,42,7
2012,44,6
2012,38,6
2012,43,5
2012,48,5
2012,49,4
2012,55,3
2012,53,3
2012,66,3
2012,51,3
2012,45,3
2012,59,2
2012,56,2
2012,57,2
2012,39,2
2012,50,2
2012,46,2
2012,58,2
2012,64,1
2012,73,1
2012,94,1
2012,117,1
2012,52,1
2012,47,1
2012,54,1
2012,60,1
2012,63,1
2013,1,119050
2013,2,67194
2013,3,38025
2013,4,22793
2013,5,13742
2013,6,8829
2013,7,5826
2013,8,3828
2013,9,2729
2013,10,2003
2013,11,1442
2013,12,1133
2013,13,867
2013,14,682
2013,15,483
2013,16,387
2013,17,282
2013,18,232
2013,19,202
2013,20,143
2013,21,121
2013,22,99
2013,23,82
2013,24,71
2013,25,51
2013,26,44
2013,27,36
2013,28,33
2013,29,28
2013,30,28
2013,36,22
2013,32,22
2013,31,17
2013,33,16
2013,34,16
2013,35,14
2013,38,13
2013,46,7
2013,44,7
2013,37,7
2013,39,5
2013,55,5
2013,43,4
2013,53,4
2013,51,3
2013,47,3
2013,40,3
2013,48,3
2013,52,2
2013,42,2
2013,41,2
2013,45,2
2013,62,2
2013,73,2
2013,58,2
2013,57,2
2013,50,1
2013,49,1
2013,54,1
2013,60,1
2013,56,1
2013,101,1
2013,146,1
2013,66,1
2013,59,1
2013,68,1
2013,71,1
2013,76,1
2013,67,1
2013,61,1
2013,72,1
2014,1,117316
2014,2,66855
2014,3,38502
2014,4,22800
2014,5,14291
2014,6,9019
2014,7,5955
2014,8,4063
2014,9,2861
2014,10,2105
2014,11,1607
2014,12,1193
2014,13,950
2014,14,654
2014,15,546
2014,16,424
2014,17,307
2014,18,260
2014,19,171
2014,20,154
2014,21,139
2014,22,119
2014,24,84
2014,23,81
2014,25,57
2014,26,47
2014,27,44
2014,29,33
2014,28,30
2014,30,29
2014,31,21
2014,36,16
2014,34,16
2014,33,14
2014,32,12
2014,35,11
2014,37,10
2014,42,9
2014,40,8
2014,43,6
2014,41,6
2014,44,4
2014,39,4
2014,52,4
2014,46,4
2014,38,4
2014,51,4
2014,64,3
2014,45,3
2014,54,3
2014,48,2
2014,47,2
2014,60,2
2014,49,2
2014,67,1
2014,66,1
2014,55,1
2014,77,1
2014,85,1
2014,59,1
2014,79,1
2014,56,1
2014,68,1
2014,65,1
2014,98,1
2014,99,1
2014,50,1
2014,92,1
2014,57,1
2014,62,1
2015,1,116586
2015,2,65674
2015,3,37727
2015,4,22507
2015,5,13818
2015,6,8976
2015,7,5807
2015,8,3988
2015,9,2726
2015,10,2137
2015,11,1556
2015,12,1261
2015,13,973
2015,14,680
2015,15,549
2015,16,462
2015,17,334
2015,18,236
2015,19,178
2015,20,153
2015,22,120
2015,21,115
2015,23,89
2015,24,72
2015,25,64
2015,26,51
2015,27,36
2015,30,28
2015,28,28
2015,29,26
2015,33,22
2015,32,20
2015,35,20
2015,31,19
2015,34,14
2015,39,9
2015,42,8
2015,38,8
2015,37,8
2015,40,8
2015,36,8
2015,46,7
2015,41,6
2015,44,6
2015,47,5
2015,51,4
2015,53,4
2015,50,4
2015,49,3
2015,48,3
2015,43,3
2015,45,3
2015,74,2
2015,63,2
2015,62,1
2015,55,1
2015,69,1
2015,65,1
2015,59,1
2015,52,1
2015,86,1
2015,54,1
2015,57,1
2015,71,1
2015,91,1
2016,1,115605
2016,2,64175
2016,3,36253
2016,4,21513
2016,5,13323
2016,6,8497
2016,7,5505
2016,8,3877
2016,9,2791
2016,10,1994
2016,11,1469
2016,12,1115
2016,13,877
2016,14,715
2016,15,539
2016,16,399
2016,17,291
2016,18,264
2016,19,213
2016,20,156
2016,21,129
2016,22,109
2016,23,97
2016,24,74
2016,25,56
2016,26,41
2016,28,41
2016,29,41
2016,27,34
2016,31,25
2016,32,24
2016,30,21
2016,33,18
2016,34,16
2016,37,12
2016,36,11
2016,42,9
2016,35,8
2016,40,7
2016,46,7
2016,38,7
2016,41,5
2016,51,4
2016,43,4
2016,39,3
2016,57,3
2016,44,3
2016,59,2
2016,48,2
2016,60,2
2016,45,2
2016,54,2
2016,66,2
2016,56,2
2016,50,2
2016,65,2
2016,49,2
2016,98,1
2016,103,1
2016,61,1
2016,47,1
2016,53,1
2016,73,1
2016,142,1
2016,78,1
2016,162,1
2016,64,1
2017,1,112644
2017,2,60773
2017,3,34004
2017,4,20043
2017,5,12303
2017,6,7815
2017,7,5150
2017,8,3602
2017,9,2515
2017,10,1859
2017,11,1402
2017,12,1080
2017,13,829
2017,14,636
2017,15,492
2017,16,367
2017,17,265
2017,18,234
2017,19,183
2017,20,148
2017,21,123
2017,22,72
2017,24,71
2017,23,69
2017,25,53
2017,27,45
2017,26,40
2017,28,38
2017,29,33
2017,30,23
2017,31,17
2017,32,16
2017,34,15
2017,33,13
2017,35,12
2017,37,12
2017,39,11
2017,38,8
2017,36,7
2017,49,7
2017,45,5
2017,41,5
2017,40,4
2017,53,4
2017,52,3
2017,43,3
2017,46,3
2017,50,3
2017,61,2
2017,51,2
2017,48,2
2017,60,2
2017,58,2
2017,42,1
2017,94,1
2017,63,1
2017,84,1
2017,64,1
2017,44,1
2017,65,1
2017,78,1
