co_codifa,mese,count
026089019,2008-01-01,9359
023097102,2008-01-01,5437
025300029,2008-01-01,3985
026664021,2008-01-01,3413
025680024,2008-01-01,2761
026089019,2008-02-01,8009
023097102,2008-02-01,4458
025300029,2008-02-01,3321
026664021,2008-02-01,2458
025680024,2008-02-01,2430
026089019,2008-03-01,6987
023097102,2008-03-01,3866
025300029,2008-03-01,3317
025680024,2008-03-01,2386
026664021,2008-03-01,2290
026089019,2008-04-01,7011
023097102,2008-04-01,3621
025300029,2008-04-01,3586
025680024,2008-04-01,2510
026664021,2008-04-01,2404
026089019,2008-05-01,6462
025300029,2008-05-01,3667
023097102,2008-05-01,3272
025680024,2008-05-01,2631
026664021,2008-05-01,2231
026089019,2008-06-01,5842
025300029,2008-06-01,3780
023097102,2008-06-01,2812
025680024,2008-06-01,2569
026664021,2008-06-01,2112
026089019,2008-07-01,6453
025300029,2008-07-01,4492
025680024,2008-07-01,3267
023097102,2008-07-01,2986
026664021,2008-07-01,2375
026089019,2008-08-01,4276
025300029,2008-08-01,2845
025680024,2008-08-01,2187
023097102,2008-08-01,1967
026664021,2008-08-01,1711
026089019,2008-09-01,7291
025300029,2008-09-01,4022
023097102,2008-09-01,3701
025680024,2008-09-01,2925
026664021,2008-09-01,2517
026089019,2008-10-01,8285
023097102,2008-10-01,4594
025300029,2008-10-01,3676
025680024,2008-10-01,2861
026664021,2008-10-01,2793
026089019,2008-11-01,6624
023097102,2008-11-01,3554
025300029,2008-11-01,3029
025680024,2008-11-01,2469
026664021,2008-11-01,2225
026089019,2008-12-01,7366
023097102,2008-12-01,3796
025300029,2008-12-01,3471
025680024,2008-12-01,2461
026664021,2008-12-01,2432
026089019,2009-01-01,8484
023097102,2009-01-01,4149
025300029,2009-01-01,4033
025680024,2009-01-01,2843
026664021,2009-01-01,2618
026089019,2009-02-01,7558
023097102,2009-02-01,3892
025300029,2009-02-01,3357
025680024,2009-02-01,2465
026664021,2009-02-01,2408
026089019,2009-03-01,8350
023097102,2009-03-01,4341
025300029,2009-03-01,3940
026664021,2009-03-01,2851
025680024,2009-03-01,2738
026089019,2009-04-01,7376
025300029,2009-04-01,3883
023097102,2009-04-01,3438
026664021,2009-04-01,2651
025680024,2009-04-01,2486
026089019,2009-05-01,6774
025300029,2009-05-01,3667
023097102,2009-05-01,3118
025680024,2009-05-01,2510
026664021,2009-05-01,2500
026089019,2009-06-01,6476
025300029,2009-06-01,4058
025680024,2009-06-01,3054
023097102,2009-06-01,2817
026664021,2009-06-01,2568
026089019,2009-07-01,6978
025300029,2009-07-01,4685
025680024,2009-07-01,3542
023097102,2009-07-01,2859
026664021,2009-07-01,2704
026089019,2009-08-01,4790
025300029,2009-08-01,3186
025680024,2009-08-01,2415
026664021,2009-08-01,1995
023097102,2009-08-01,1833
026089019,2009-09-01,7574
025300029,2009-09-01,4106
025680024,2009-09-01,3235
023097102,2009-09-01,3159
026664021,2009-09-01,2760
026089019,2009-10-01,8983
023097102,2009-10-01,4010
025300029,2009-10-01,3721
026664021,2009-10-01,3013
025680024,2009-10-01,2925
026089019,2009-11-01,8707
023097102,2009-11-01,3809
025300029,2009-11-01,3464
033940038,2009-11-01,3149
026664021,2009-11-01,2952
026089019,2009-12-01,6021
025300029,2009-12-01,3694
023097102,2009-12-01,2850
026664021,2009-12-01,2626
025680024,2009-12-01,2497
026089019,2010-01-01,6479
025300029,2010-01-01,4404
023097102,2010-01-01,2930
026664021,2010-01-01,2721
025680024,2010-01-01,2436
026089019,2010-02-01,6324
025300029,2010-02-01,3879
023097102,2010-02-01,2856
026664021,2010-02-01,2492
033940038,2010-02-01,2471
026089019,2010-03-01,7262
025300029,2010-03-01,4501
023097102,2010-03-01,3265
033940038,2010-03-01,3047
026664021,2010-03-01,3044
026089019,2010-04-01,6472
025300029,2010-04-01,4224
