co_codifa,anno,count
026089019,2008,83965
023097102,2008,44064
025300029,2008,43191
025680024,2008,31457
026664021,2008,28961
026089019,2009,88071
025300029,2009,45794
023097102,2009,40275
025680024,2009,33398
026664021,2009,31646
026089019,2010,71571
025300029,2010,48325
026664021,2010,31968
023097102,2010,31101
025680024,2010,29011
026089019,2011,71778
025300029,2011,43040
026664021,2011,32289
033940038,2011,29836
025680024,2011,26720
026089019,2012,78138
025300029,2012,48381
026664021,2012,31922
033940038,2012,29385
025680024,2012,25616
026089019,2013,89985
025300029,2013,57595
026664021,2013,35583
033940038,2013,32808
025680024,2013,28210
026089019,2014,94248
025300029,2014,62299
026664021,2014,39751
033940038,2014,34175
025680024,2014,29932
026089019,2015,94140
025300029,2015,65983
026664021,2015,40572
033940038,2015,33534
025680024,2015,32024
026089019,2016,94326
025300029,2016,64643
026664021,2016,36676
033940038,2016,32146
025680024,2016,32024
026089019,2017,101050
025300029,2017,64847
026664021,2017,37900
025680024,2017,32088
033940038,2017,30328
026089019,2018,67670
025300029,2018,42684
026664021,2018,26452
025680024,2018,21298
033940038,2018,20854
