co_codifa,date_part,count
023097102,2008,44064
026089019,2008,6559
025300029,2008,4778
025680024,2008,3356
026664021,2008,2300
023097102,2009,14073
026089019,2009,7321
025300029,2009,4663
025680024,2009,3139
026664021,2009,2595
023097102,2010,9809
026089019,2010,5899
025300029,2010,4884
026664021,2010,2600
025680024,2010,2598
023097102,2011,7675
026089019,2011,5644
025300029,2011,4066
026664021,2011,2680
025680024,2011,2351
023097102,2012,6199
026089019,2012,6166
025300029,2012,4626
026664021,2012,2523
033940038,2012,2289
026089019,2013,7000
023097102,2013,5851
025300029,2013,5281
026664021,2013,2804
033940038,2013,2510
026089019,2014,7229
025300029,2014,5376
023097102,2014,4865
026664021,2014,2973
033940038,2014,2507
026089019,2015,7075
025300029,2015,5561
023097102,2015,4396
026664021,2015,2827
033940038,2015,2446
026089019,2016,6529
025300029,2016,5363
023097102,2016,3851
026664021,2016,2438
025680024,2016,2350
026089019,2017,6807
025300029,2017,5157
023097102,2017,3037
026664021,2017,2408
025680024,2017,2235
026089019,2018,4519
025300029,2018,3272
023097102,2018,1663
026664021,2018,1637
033940038,2018,1384
