co_atc,mese,count
J01CR02,2008-01-01,17183
J01CA04,2008-01-01,10040
J01FA09,2008-01-01,5902
J01CR02,2008-02-01,14466
J01CA04,2008-02-01,8198
J01FA09,2008-02-01,5732
J01CR02,2008-03-01,12691
J01CA04,2008-03-01,6996
J01FA09,2008-03-01,5305
J01CR02,2008-04-01,12175
J01CA04,2008-04-01,6519
J01FA09,2008-04-01,4749
J01CR02,2008-05-01,11168
J01CA04,2008-05-01,5931
A07AA11,2008-05-01,4361
J01CR02,2008-06-01,9747
J01CA04,2008-06-01,5003
A07AA11,2008-06-01,4538
J01CR02,2008-07-01,10694
J01CA04,2008-07-01,5341
A07AA11,2008-07-01,5268
J01CR02,2008-08-01,7257
J01CA04,2008-08-01,3513
A07AA11,2008-08-01,3431
J01CR02,2008-09-01,12480
J01CA04,2008-09-01,6585
A07AA11,2008-09-01,4786
J01CR02,2008-10-01,14690
J01CA04,2008-10-01,8140
J01FA09,2008-10-01,5434
J01CR02,2008-11-01,11801
J01CA04,2008-11-01,6302
J01FA09,2008-11-01,4346
J01CR02,2008-12-01,13264
J01CA04,2008-12-01,6895
J01FA09,2008-12-01,4624
J01CR02,2009-01-01,15249
J01CA04,2009-01-01,7478
J01FA09,2009-01-01,5337
J01CR02,2009-02-01,14246
J01CA04,2009-02-01,7083
J01FA09,2009-02-01,5112
J01CR02,2009-03-01,15717
J01CA04,2009-03-01,7873
J01FA09,2009-03-01,5754
J01CR02,2009-04-01,13564
J01CA04,2009-04-01,6325
J01MA02,2009-04-01,4844
J01CR02,2009-05-01,12342
J01CA04,2009-05-01,5599
J01MA02,2009-05-01,4553
J01CR02,2009-06-01,11495
J01CA04,2009-06-01,5041
A07AA11,2009-06-01,4868
J01CR02,2009-07-01,11839
A07AA11,2009-07-01,5623
J01CA04,2009-07-01,5114
J01CR02,2009-08-01,8413
A07AA11,2009-08-01,3787
J01MA02,2009-08-01,3498
J01CR02,2009-09-01,13408
J01CA04,2009-09-01,5823
J01MA02,2009-09-01,5208
J01CR02,2009-10-01,17511
J01CA04,2009-10-01,7517
J01FA09,2009-10-01,6352
J01CR02,2009-11-01,17151
J01FA09,2009-11-01,7595
J01CA04,2009-11-01,7143
J01CR02,2009-12-01,12639
J01CA04,2009-12-01,5244
J01FA09,2009-12-01,4854
J01CR02,2010-01-01,13235
J01CA04,2010-01-01,5400
A07AA11,2010-01-01,5116
J01CR02,2010-02-01,13782
J01CA04,2010-02-01,5490
J01MA12,2010-02-01,5057
J01CR02,2010-03-01,15903
J01CA04,2010-03-01,6410
J01MA12,2010-03-01,6039
J01CR02,2010-04-01,13895
J01CA04,2010-04-01,5392
J01MA12,2010-04-01,5133
J01CR02,2010-05-01,13746
J01CA04,2010-05-01,5277
J01MA12,2010-05-01,5121
J01CR02,2010-06-01,12274
A07AA11,2010-06-01,5067
J01MA02,2010-06-01,5002
J01CR02,2010-07-01,12033
A07AA11,2010-07-01,5569
J01MA02,2010-07-01,5039
J01CR02,2010-08-01,11118
A07AA11,2010-08-01,5031
J01MA02,2010-08-01,4225
J01CR02,2010-09-01,10401
J01CA04,2010-09-01,4160
J01MA02,2010-09-01,3879
J01CR02,2010-10-01,13927
J01MA02,2010-10-01,5294
J01MA12,2010-10-01,5255
J01CR02,2010-11-01,13325
J01MA12,2010-11-01,4873
J01MA02,2010-11-01,4829
J01CR02,2010-12-01,13634
J01MA12,2010-12-01,4921
J01MA02,2010-12-01,4621
J01CR02,2011-01-01,16720
J01FA09,2011-01-01,5686
J01MA12,2011-01-01,5558
J01CR02,2011-02-01,15996
J01MA12,2011-02-01,5240
J01FA09,2011-02-01,5236
J01CR02,2011-03-01,15445
J01MA12,2011-03-01,5523
J01MA02,2011-03-01,5257
J01CR02,2011-04-01,13463
