co_atc,anno,count
J01CR02,2008,147616
J01CA04,2008,79463
J01FA09,2008,54701
J01CR02,2009,163574
J01CA04,2009,73482
J01FA09,2009,58638
J01CR02,2010,157273
J01CA04,2010,58916
J01MA02,2010,57731
J01CR02,2011,166164
J01MA12,2011,58516
J01MA02,2011,58459
J01CR02,2012,168369
J01MA12,2012,61392
A07AA11,2012,58749
J01CR02,2013,184869
J01MA12,2013,63927
A07AA11,2013,62838
J01CR02,2014,190898
A07AA11,2014,67861
J01MA02,2014,66413
J01CR02,2015,184491
A07AA11,2015,71501
J01MA02,2015,66924
J01CR02,2016,183956
A07AA11,2016,70106
J01MA02,2016,64632
J01CR02,2017,173235
A07AA11,2017,70535
J01MA02,2017,63888
J01CR02,2018,112943
A07AA11,2018,46565
J01MA02,2018,40426
