co_atc,mese,totale
A07AA11,2008-01-01,4763
A07AA02,2008-01-01,762
A07AA06,2008-01-01,276
A07AA11,2008-02-01,4049
A07AA02,2008-02-01,662
A07AA06,2008-02-01,243
A07AA11,2008-03-01,4009
A07AA02,2008-03-01,630
A07AA06,2008-03-01,254
A07AA11,2008-04-01,4351
A07AA02,2008-04-01,743
A07AA06,2008-04-01,267
A07AA11,2008-05-01,4361
A07AA02,2008-05-01,762
A07AA06,2008-05-01,280
A07AA11,2008-06-01,4538
A07AA02,2008-06-01,708
A07AA06,2008-06-01,258
A07AA11,2008-07-01,5268
A07AA02,2008-07-01,904
A07AA06,2008-07-01,333
A07AA11,2008-08-01,3431
A07AA02,2008-08-01,549
A07AA06,2008-08-01,185
A07AA11,2008-09-01,4786
A07AA02,2008-09-01,856
A07AA06,2008-09-01,276
A07AA11,2008-10-01,4356
A07AA02,2008-10-01,792
A07AA06,2008-10-01,296
A07AA11,2008-11-01,3691
A07AA02,2008-11-01,730
A07AA06,2008-11-01,205
A07AA11,2008-12-01,4267
A07AA02,2008-12-01,677
A07AA06,2008-12-01,241
A07AA11,2009-01-01,4830
A07AA02,2009-01-01,752
A07AA06,2009-01-01,266
A07AA11,2009-02-01,4125
A07AA02,2009-02-01,670
A07AA06,2009-02-01,239
A07AA11,2009-03-01,4740
A07AA02,2009-03-01,811
A07AA06,2009-03-01,236
A07AA11,2009-04-01,4639
A07AA02,2009-04-01,743
A07AA06,2009-04-01,291
A07AA11,2009-05-01,4416
A07AA02,2009-05-01,780
A07AA06,2009-05-01,284
A07AA11,2009-06-01,4868
A07AA02,2009-06-01,884
A07AA06,2009-06-01,275
A07AA11,2009-07-01,5623
A07AA02,2009-07-01,939
A07AA06,2009-07-01,328
A07AA11,2009-08-01,3787
A07AA02,2009-08-01,529
A07AA06,2009-08-01,199
A07AA11,2009-09-01,4929
A07AA02,2009-09-01,795
A07AA06,2009-09-01,306
A07AA11,2009-10-01,4482
A07AA02,2009-10-01,847
A07AA06,2009-10-01,253
A07AA11,2009-11-01,4125
A07AA02,2009-11-01,846
A07AA06,2009-11-01,259
A07AA11,2009-12-01,4365
A07AA02,2009-12-01,723
A07AA06,2009-12-01,276
A07AA11,2010-01-01,5116
A07AA02,2010-01-01,780
A07AA06,2010-01-01,279
A07AA11,2010-02-01,4557
A07AA02,2010-02-01,728
A07AA06,2010-02-01,237
A07AA11,2010-03-01,5255
A07AA02,2010-03-01,860
A07AA06,2010-03-01,266
A07AA11,2010-04-01,4876
A07AA02,2010-04-01,810
A07AA06,2010-04-01,243
A07AA11,2010-05-01,4742
A07AA02,2010-05-01,885
A07AA06,2010-05-01,264
A07AA11,2010-06-01,5067
A07AA02,2010-06-01,882
A07AA06,2010-06-01,280
A07AA11,2010-07-01,5569
A07AA02,2010-07-01,876
A07AA06,2010-07-01,261
A07AA11,2010-08-01,5031
A07AA02,2010-08-01,760
A07AA06,2010-08-01,247
A07AA11,2010-09-01,3564
A07AA02,2010-09-01,505
A07AA06,2010-09-01,168
A07AA11,2010-10-01,4135
A07AA02,2010-10-01,693
A07AA06,2010-10-01,214
A07AA11,2010-11-01,4266
A07AA02,2010-11-01,695
A07AA06,2010-11-01,209
A07AA11,2010-12-01,3885
A07AA02,2010-12-01,570
A07AA06,2010-12-01,215
A07AA11,2011-01-01,4474
A07AA02,2011-01-01,608
A07AA06,2011-01-01,218
A07AA11,2011-02-01,4054
A07AA02,2011-02-01,682
A07AA06,2011-02-01,177
A07AA11,2011-03-01,4767
A07AA02,2011-03-01,759
A07AA06,2011-03-01,221
A07AA11,2011-04-01,4241
A07AA02,2011-04-01,699
A07AA06,2011-04-01,169
A07AA11,2011-05-01,4794
A07AA02,2011-05-01,812
A07AA06,2011-05-01,159
A07AA11,2011-06-01,4871
A07AA02,2011-06-01,796
A07AA06,2011-06-01,135
A07AA11,2011-07-01,5141
A07AA02,2011-07-01,661
A07AA06,2011-07-01,138
A07AA11,2011-08-01,4097
A07AA02,2011-08-01,374
A07AA06,2011-08-01,101
A07AA11,2011-09-01,4753
A07AA02,2011-09-01,328
A07AA06,2011-09-01,118
A07AA11,2011-10-01,4250
A07AA02,2011-10-01,238
A07AA06,2011-10-01,75
A07AA11,2011-11-01,4501
A07AA02,2011-11-01,303
A07AA06,2011-11-01,98
A07AA11,2011-12-01,4333
A07AA02,2011-12-01,391
A07AA06,2011-12-01,81
A07AA11,2012-01-01,5148
A07AA02,2012-01-01,481
A07AA06,2012-01-01,102
A07AA11,2012-02-01,4229
A07AA02,2012-02-01,501
A07AA06,2012-02-01,90
A07AA11,2012-03-01,5048
A07AA02,2012-03-01,607
A07AA06,2012-03-01,102
A07AA11,2012-04-01,4524
A07AA02,2012-04-01,487
A07AA06,2012-04-01,96
A07AA11,2012-05-01,5241
A07AA02,2012-05-01,658
A07AA06,2012-05-01,117
A07AA11,2012-06-01,4946
A07AA02,2012-06-01,596
A07AA06,2012-06-01,113
A07AA11,2012-07-01,5832
A07AA02,2012-07-01,648
A07AA06,2012-07-01,110
A07AA11,2012-08-01,4443
A07AA02,2012-08-01,477
A07AA06,2012-08-01,100
A07AA11,2012-09-01,5075
A07AA02,2012-09-01,561
A07AA06,2012-09-01,87
A07AA11,2012-10-01,5175
A07AA02,2012-10-01,618
A07AA06,2012-10-01,97
A07AA11,2012-11-01,4685
A07AA02,2012-11-01,618
A07AA06,2012-11-01,104
A07AA11,2012-12-01,4403
A07AA02,2012-12-01,505
A07AA06,2012-12-01,76
A07AA11,2013-01-01,5740
A07AA02,2013-01-01,684
A07AA06,2013-01-01,91
A07AA11,2013-02-01,4622
A07AA02,2013-02-01,592
A07AA06,2013-02-01,79
A07AA11,2013-03-01,4892
A07AA02,2013-03-01,595
A07AA06,2013-03-01,79
A07AA11,2013-04-01,5124
A07AA02,2013-04-01,639
A07AA06,2013-04-01,95
A07AA11,2013-05-01,5696
A07AA02,2013-05-01,677
A07AA06,2013-05-01,81
A07AA11,2013-06-01,5182
A07AA02,2013-06-01,604
A07AA06,2013-06-01,92
A07AA11,2013-07-01,6246
A07AA02,2013-07-01,689
A07AA06,2013-07-01,98
A07AA11,2013-08-01,4506
A07AA02,2013-08-01,473
A07AA06,2013-08-01,55
A07AA11,2013-09-01,5580
A07AA02,2013-09-01,620
A07AA06,2013-09-01,90
A07AA11,2013-10-01,5473
A07AA02,2013-10-01,642
A07AA06,2013-10-01,103
A07AA11,2013-11-01,4888
A07AA02,2013-11-01,442
A07AA06,2013-11-01,89
A07AA11,2013-12-01,4889
A07AA02,2013-12-01,373
A07AA06,2013-12-01,64
A07AA11,2014-01-01,6063
A07AA02,2014-01-01,519
A07AA06,2014-01-01,81
A07AA11,2014-02-01,5008
A07AA02,2014-02-01,567
A07AA06,2014-02-01,74
A07AA11,2014-03-01,5354
A07AA02,2014-03-01,603
A07AA06,2014-03-01,82
A07AA11,2014-04-01,5321
A07AA02,2014-04-01,547
A07AA06,2014-04-01,86
A07AA11,2014-05-01,6079
A07AA02,2014-05-01,662
A07AA06,2014-05-01,98
A07AA11,2014-06-01,5876
A07AA02,2014-06-01,652
A07AA06,2014-06-01,126
A07AA11,2014-07-01,6909
A07AA02,2014-07-01,664
A07AA06,2014-07-01,144
A07AA11,2014-08-01,4868
A07AA02,2014-08-01,473
A07AA06,2014-08-01,101
A07AA11,2014-09-01,6394
A07AA02,2014-09-01,686
A07AA06,2014-09-01,119
A07AA11,2014-10-01,5661
A07AA02,2014-10-01,715
A07AA06,2014-10-01,95
A07AA11,2014-11-01,5048
A07AA02,2014-11-01,613
A07AA06,2014-11-01,74
A07AA11,2014-12-01,5280
A07AA02,2014-12-01,665
A07AA06,2014-12-01,109
A07AA11,2015-01-01,5795
A07AA02,2015-01-01,646
A07AA06,2015-01-01,107
A07AA11,2015-02-01,5042
A07AA02,2015-02-01,653
A07AA06,2015-02-01,97
A07AA11,2015-03-01,6038
A07AA02,2015-03-01,761
A07AA06,2015-03-01,123
A07AA11,2015-04-01,5472
A07AA02,2015-04-01,609
A07AA06,2015-04-01,93
A07AA11,2015-05-01,6096
A07AA02,2015-05-01,639
A07AA06,2015-05-01,92
A07AA11,2015-06-01,6648
A07AA02,2015-06-01,704
A07AA06,2015-06-01,88
A07AA11,2015-07-01,7001
A07AA02,2015-07-01,731
A07AA06,2015-07-01,80
A07AA11,2015-08-01,5596
A07AA02,2015-08-01,562
A07AA06,2015-08-01,71
A07AA11,2015-09-01,6753
A07AA02,2015-09-01,663
A07AA06,2015-09-01,81
A07AA11,2015-10-01,5859
A07AA02,2015-10-01,640
A07AA06,2015-10-01,90
A07AA11,2015-11-01,5525
A07AA02,2015-11-01,671
A07AA06,2015-11-01,87
A07AA11,2015-12-01,5676
A07AA02,2015-12-01,642
A07AA06,2015-12-01,84
A07AA11,2016-01-01,5802
A07AA02,2016-01-01,665
A07AA06,2016-01-01,91
A07AA11,2016-02-01,5683
A07AA02,2016-02-01,676
A07AA06,2016-02-01,71
A07AA11,2016-03-01,6065
A07AA02,2016-03-01,683
A07AA06,2016-03-01,79
A07AA11,2016-04-01,5453
A07AA02,2016-04-01,608
A07AA06,2016-04-01,60
A07AA11,2016-05-01,6114
A07AA02,2016-05-01,714
A07AA06,2016-05-01,90
A07AA11,2016-06-01,6041
A07AA02,2016-06-01,616
A07AA06,2016-06-01,79
A07AA11,2016-07-01,6610
A07AA02,2016-07-01,694
A07AA06,2016-07-01,93
A07AA11,2016-08-01,5448
A07AA02,2016-08-01,623
A07AA06,2016-08-01,54
A07AA11,2016-09-01,6077
A07AA02,2016-09-01,645
A07AA06,2016-09-01,74
A07AA11,2016-10-01,5400
A07AA02,2016-10-01,662
A07AA06,2016-10-01,66
A07AA11,2016-11-01,5752
A07AA02,2016-11-01,738
A07AA06,2016-11-01,55
A07AA11,2016-12-01,5661
A07AA02,2016-12-01,679
A07AA06,2016-12-01,56
A07AA11,2017-01-01,5963
A07AA02,2017-01-01,701
A07AA06,2017-01-01,73
A07AA11,2017-02-01,5397
A07AA02,2017-02-01,614
A07AA06,2017-02-01,58
A07AA11,2017-03-01,6176
A07AA02,2017-03-01,757
A07AA06,2017-03-01,64
A07AA11,2017-04-01,5114
A07AA02,2017-04-01,550
A07AA06,2017-04-01,58
A07AA11,2017-05-01,6476
A07AA02,2017-05-01,697
A07AA06,2017-05-01,70
A07AA11,2017-06-01,6161
A07AA02,2017-06-01,680
A07AA06,2017-06-01,71
