co_atc,anno,count
J01CR02,2008,64172
J01CA04,2008,34103
J01MA12,2008,25787
J01CR02,2009,71442
J01CA04,2009,31133
J01MA12,2009,28211
J01CR02,2010,68076
J01MA12,2010,28490
J01MA02,2010,24924
J01CR02,2011,72149
J01MA12,2011,29294
J01MA02,2011,25039
J01CR02,2012,73021
J01MA12,2012,30754
J01MA02,2012,24483
J01CR02,2013,79364
J01MA12,2013,31599
J01MA02,2013,26353
J01CR02,2014,81458
J01MA12,2014,31375
J01MA02,2014,27755
J01CR02,2015,79004
J01MA12,2015,30500
A07AA11,2015,28491
J01CR02,2016,78684
J01MA12,2016,28664
A07AA11,2016,27907
J01CR02,2017,73435
A07AA11,2017,28264
J01MA02,2017,26883
J01CR02,2018,48406
A07AA11,2018,18534
J01MA12,2018,17901
