co_atc,anno,count
J01CR02,2008,83093
J01CA04,2008,45221
A07AA11,2008,30641
J01CR02,2009,91599
J01CA04,2009,42203
J01MA02,2009,33197
J01CR02,2010,88859
J01CA04,2010,33937
A07AA11,2010,33226
J01CR02,2011,93871
J01MA02,2011,33377
A07AA11,2011,32254
J01CR02,2012,95064
A07AA11,2012,35076
J01MA02,2012,33191
J01CR02,2013,104997
A07AA11,2013,37742
J01MA02,2013,35079
J01CR02,2014,108843
A07AA11,2014,40865
J01MA02,2014,38555
J01CR02,2015,104904
A07AA11,2015,42817
J01MA02,2015,38434
J01CR02,2016,104703
A07AA11,2016,42001
J01MA02,2016,37047
J01CR02,2017,99220
A07AA11,2017,42059
J01MA02,2017,36860
J01CR02,2018,64034
A07AA11,2018,27862
J01MA02,2018,23353
